industry_code_x,industry_code_y,dem_corr,edge_tuple,edge_tuple_rev
Exports of '02 - Meat and edible meat offal',"Exports of '23 - Food industries, residues and wastes thereof; prepared animal fodder'",0.369303256357,"(""Exports of '02 - Meat and edible meat offal'"", ""Exports of '23 - Food industries, residues and wastes thereof; prepared animal fodder'"")","(""Exports of '23 - Food industries, residues and wastes thereof; prepared animal fodder'"", ""Exports of '02 - Meat and edible meat offal'"")"
Exports of '02 - Meat and edible meat offal',Imports of '31 - Fertilizers',0.365311306494,"(""Exports of '02 - Meat and edible meat offal'"", ""Imports of '31 - Fertilizers'"")","(""Imports of '31 - Fertilizers'"", ""Exports of '02 - Meat and edible meat offal'"")"
Exports of '02 - Meat and edible meat offal',Wages of ''Extracao de minerais metalicos' in 'All occupations'',0.332277389469,"(""Exports of '02 - Meat and edible meat offal'"", ""Wages of ''Extracao de minerais metalicos' in 'All occupations''"")","(""Wages of ''Extracao de minerais metalicos' in 'All occupations''"", ""Exports of '02 - Meat and edible meat offal'"")"
Exports of '02 - Meat and edible meat offal',Exports of '17 - Sugars and sugar confectionery',0.320796694864,"(""Exports of '02 - Meat and edible meat offal'"", ""Exports of '17 - Sugars and sugar confectionery'"")","(""Exports of '17 - Sugars and sugar confectionery'"", ""Exports of '02 - Meat and edible meat offal'"")"
Exports of '02 - Meat and edible meat offal',Wages of ''Transporte aquaviario' in 'All occupations'',0.275794911386,"(""Exports of '02 - Meat and edible meat offal'"", ""Wages of ''Transporte aquaviario' in 'All occupations''"")","(""Wages of ''Transporte aquaviario' in 'All occupations''"", ""Exports of '02 - Meat and edible meat offal'"")"
Exports of '02 - Meat and edible meat offal',Wages of ''Extracao de petroleo e gas natural' in 'All occupations'',0.273298042649,"(""Exports of '02 - Meat and edible meat offal'"", ""Wages of ''Extracao de petroleo e gas natural' in 'All occupations''"")","(""Wages of ''Extracao de petroleo e gas natural' in 'All occupations''"", ""Exports of '02 - Meat and edible meat offal'"")"
Exports of '02 - Meat and edible meat offal',Exports of '44 - Wood and articles of wood; wood charcoal',0.266271770922,"(""Exports of '02 - Meat and edible meat offal'"", ""Exports of '44 - Wood and articles of wood; wood charcoal'"")","(""Exports of '44 - Wood and articles of wood; wood charcoal'"", ""Exports of '02 - Meat and edible meat offal'"")"
Exports of '02 - Meat and edible meat offal',Exports of '64 - Footwear; gaiters and the like; parts of such articles',0.254710203765,"(""Exports of '02 - Meat and edible meat offal'"", ""Exports of '64 - Footwear; gaiters and the like; parts of such articles'"")","(""Exports of '64 - Footwear; gaiters and the like; parts of such articles'"", ""Exports of '02 - Meat and edible meat offal'"")"
Exports of '02 - Meat and edible meat offal',"Exports of '71 - Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin'",0.246349014824,"(""Exports of '02 - Meat and edible meat offal'"", ""Exports of '71 - Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin'"")","(""Exports of '71 - Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin'"", ""Exports of '02 - Meat and edible meat offal'"")"
Exports of '02 - Meat and edible meat offal',Exports of '21 - Miscellaneous edible preparations',0.223168724427,"(""Exports of '02 - Meat and edible meat offal'"", ""Exports of '21 - Miscellaneous edible preparations'"")","(""Exports of '21 - Miscellaneous edible preparations'"", ""Exports of '02 - Meat and edible meat offal'"")"
Exports of '02 - Meat and edible meat offal',"Imports of '42 - Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut)'",0.213393500485,"(""Exports of '02 - Meat and edible meat offal'"", ""Imports of '42 - Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut)'"")","(""Imports of '42 - Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut)'"", ""Exports of '02 - Meat and edible meat offal'"")"
Exports of '02 - Meat and edible meat offal',"Wages of ''Preparacao de couros e fabricacao de artefatos de couro, artigos para viagem e calcados' in 'All occupations''",0.178139539056,"(""Exports of '02 - Meat and edible meat offal'"", ""Wages of ''Preparacao de couros e fabricacao de artefatos de couro, artigos para viagem e calcados' in 'All occupations''"")","(""Wages of ''Preparacao de couros e fabricacao de artefatos de couro, artigos para viagem e calcados' in 'All occupations''"", ""Exports of '02 - Meat and edible meat offal'"")"
Exports of '02 - Meat and edible meat offal',Imports of '64 - Footwear; gaiters and the like; parts of such articles',0.171708267803,"(""Exports of '02 - Meat and edible meat offal'"", ""Imports of '64 - Footwear; gaiters and the like; parts of such articles'"")","(""Imports of '64 - Footwear; gaiters and the like; parts of such articles'"", ""Exports of '02 - Meat and edible meat offal'"")"
Exports of '02 - Meat and edible meat offal',Imports of '10 - Cereals',0.160533026735,"(""Exports of '02 - Meat and edible meat offal'"", ""Imports of '10 - Cereals'"")","(""Imports of '10 - Cereals'"", ""Exports of '02 - Meat and edible meat offal'"")"
Exports of '02 - Meat and edible meat offal',Wages of ''Producao florestal' in 'All occupations'',0.153428098026,"(""Exports of '02 - Meat and edible meat offal'"", ""Wages of ''Producao florestal' in 'All occupations''"")","(""Wages of ''Producao florestal' in 'All occupations''"", ""Exports of '02 - Meat and edible meat offal'"")"
"Exports of '09 - Coffee, tea, mate and spices'","Exports of '09 - Coffee, tea, mate and spices'",1.37157731024,"(""Exports of '09 - Coffee, tea, mate and spices'"", ""Exports of '09 - Coffee, tea, mate and spices'"")","(""Exports of '09 - Coffee, tea, mate and spices'"", ""Exports of '09 - Coffee, tea, mate and spices'"")"
"Exports of '09 - Coffee, tea, mate and spices'",Exports of '02 - Meat and edible meat offal',0.427232228155,"(""Exports of '09 - Coffee, tea, mate and spices'"", ""Exports of '02 - Meat and edible meat offal'"")","(""Exports of '02 - Meat and edible meat offal'"", ""Exports of '09 - Coffee, tea, mate and spices'"")"
