CBO ID O,CBO label O,CBO ID F,CBO ID SG,CBO ID SGP,CBO ID GG,CBO label F,CBO label SG,CBO label SGP,CBO label GG
030115,Tenente-coronel bombeiro militar,0301,030,03,0,Oficiais superiores do corpo de bombeiros militar,Oficiais de bombeiro militar                                                                                                      ,Bombeiros militares                                                                                                               ,"Membros das forÇas armadas, policiais e bombeiros militares                                                                       "
030105,Coronel bombeiro militar,0301,030,03,0,Oficiais superiores do corpo de bombeiros militar,Oficiais de bombeiro militar                                                                                                      ,Bombeiros militares                                                                                                               ,"Membros das forÇas armadas, policiais e bombeiros militares                                                                       "
030110,Major bombeiro militar,0301,030,03,0,Oficiais superiores do corpo de bombeiros militar,Oficiais de bombeiro militar                                                                                                      ,Bombeiros militares                                                                                                               ,"Membros das forÇas armadas, policiais e bombeiros militares                                                                       "
030205,Capitão bombeiro militar,0302,030,03,0,Oficiais intermediários do corpo de bombeiros militar,Oficiais de bombeiro militar                                                                                                      ,Bombeiros militares                                                                                                               ,"Membros das forÇas armadas, policiais e bombeiros militares                                                                       "
030305,Tenente do corpo de bombeiros militar,0303,030,03,0,Tenentes do corpo de bombeiros militar,Oficiais de bombeiro militar                                                                                                      ,Bombeiros militares                                                                                                               ,"Membros das forÇas armadas, policiais e bombeiros militares                                                                       "
031105,Subtenente bombeiro militar,0311,031,03,0,Subtenentes e sargentos do corpo de bombeiros militar,PraÇas de bombeiro militar                                                                                                        ,Bombeiros militares                                                                                                               ,"Membros das forÇas armadas, policiais e bombeiros militares                                                                       "
031110,Sargento bombeiro militar,0311,031,03,0,Subtenentes e sargentos do corpo de bombeiros militar,PraÇas de bombeiro militar                                                                                                        ,Bombeiros militares                                                                                                               ,"Membros das forÇas armadas, policiais e bombeiros militares                                                                       "
031210,Soldado bombeiro militar,0312,031,03,0,Cabos e soldados do corpo de bombeiros militar,PraÇas de bombeiro militar                                                                                                        ,Bombeiros militares                                                                                                               ,"Membros das forÇas armadas, policiais e bombeiros militares                                                                       "
031205,Cabo bombeiro militar,0312,031,03,0,Cabos e soldados do corpo de bombeiros militar,PraÇas de bombeiro militar                                                                                                        ,Bombeiros militares                                                                                                               ,"Membros das forÇas armadas, policiais e bombeiros militares                                                                       "
111120,Vereador,1111,111,11,1,Legisladores,"Membros superiores do poder legislativo, executivo e judiciÁrio                                                                   ",Membros superiores e dirigentes do poder pÚblico                                                                                  ,"Membros superiores do poder pÚblico, dirigentes de organizaÇÕes de interesse pÚblico e de empresas, gerentes                      "
111105,Senador,1111,111,11,1,Legisladores,"Membros superiores do poder legislativo, executivo e judiciÁrio                                                                   ",Membros superiores e dirigentes do poder pÚblico                                                                                  ,"Membros superiores do poder pÚblico, dirigentes de organizaÇÕes de interesse pÚblico e de empresas, gerentes                      "
111115,Deputado estadual e distrital,1111,111,11,1,Legisladores,"Membros superiores do poder legislativo, executivo e judiciÁrio                                                                   ",Membros superiores e dirigentes do poder pÚblico                                                                                  ,"Membros superiores do poder pÚblico, dirigentes de organizaÇÕes de interesse pÚblico e de empresas, gerentes                      "
111110,Deputado federal,1111,111,11,1,Legisladores,"Membros superiores do poder legislativo, executivo e judiciÁrio                                                                   ",Membros superiores e dirigentes do poder pÚblico                                                                                  ,"Membros superiores do poder pÚblico, dirigentes de organizaÇÕes de interesse pÚblico e de empresas, gerentes                      "
111215,Ministro de estado,1112,111,11,1,Dirigentes gerais da administração pública,"Membros superiores do poder legislativo, executivo e judiciÁrio                                                                   ",Membros superiores e dirigentes do poder pÚblico                                                                                  ,"Membros superiores do poder pÚblico, dirigentes de organizaÇÕes de interesse pÚblico e de empresas, gerentes                      "
111220,Secretário - executivo,1112,111,11,1,Dirigentes gerais da administração pública,"Membros superiores do poder legislativo, executivo e judiciÁrio                                                                   ",Membros superiores e dirigentes do poder pÚblico                                                                                  ,"Membros superiores do poder pÚblico, dirigentes de organizaÇÕes de interesse pÚblico e de empresas, gerentes                      "
111225,Membro superior do poder executivo,1112,111,11,1,Dirigentes gerais da administração pública,"Membros superiores do poder legislativo, executivo e judiciÁrio                                                                   ",Membros superiores e dirigentes do poder pÚblico                                                                                  ,"Membros superiores do poder pÚblico, dirigentes de organizaÇÕes de interesse pÚblico e de empresas, gerentes                      "
111230,Governador de estado,1112,111,11,1,Dirigentes gerais da administração pública,"Membros superiores do poder legislativo, executivo e judiciÁrio                                                                   ",Membros superiores e dirigentes do poder pÚblico                                                                                  ,"Membros superiores do poder pÚblico, dirigentes de organizaÇÕes de interesse pÚblico e de empresas, gerentes                      "
111235,Governador do distrito federal,1112,111,11,1,Dirigentes gerais da administração pública,"Membros superiores do poder legislativo, executivo e judiciÁrio                                                                   ",Membros superiores e dirigentes do poder pÚblico                                                                                  ,"Membros superiores do poder pÚblico, dirigentes de organizaÇÕes de interesse pÚblico e de empresas, gerentes                      "
111205,Presidente da república,1112,111,11,1,Dirigentes gerais da administração pública,"Membros superiores do poder legislativo, executivo e judiciÁrio                                                                   ",Membros superiores e dirigentes do poder pÚblico                                                                                  ,"Membros superiores do poder pÚblico, dirigentes de organizaÇÕes de interesse pÚblico e de empresas, gerentes                      "
111245,Vice-governador do distrito federal,1112,111,11,1,Dirigentes gerais da administração pública,"Membros superiores do poder legislativo, executivo e judiciÁrio                                                                   ",Membros superiores e dirigentes do poder pÚblico                                                                                  ,"Membros superiores do poder pÚblico, dirigentes de organizaÇÕes de interesse pÚblico e de empresas, gerentes                      "
111250,Prefeito,1112,111,11,1,Dirigentes gerais da administração pública,"Membros superiores do poder legislativo, executivo e judiciÁrio                                                                   ",Membros superiores e dirigentes do poder pÚblico                                                                                  ,"Membros superiores do poder pÚblico, dirigentes de organizaÇÕes de interesse pÚblico e de empresas, gerentes                      "
111255,Vice-prefeito,1112,111,11,1,Dirigentes gerais da administração pública,"Membros superiores do poder legislativo, executivo e judiciÁrio                                                                   ",Membros superiores e dirigentes do poder pÚblico                                                                                  ,"Membros superiores do poder pÚblico, dirigentes de organizaÇÕes de interesse pÚblico e de empresas, gerentes                      "
111210,Vice-presidente da república,1112,111,11,1,Dirigentes gerais da administração pública,"Membros superiores do poder legislativo, executivo e judiciÁrio                                                                   ",Membros superiores e dirigentes do poder pÚblico                                                                                  ,"Membros superiores do poder pÚblico, dirigentes de organizaÇÕes de interesse pÚblico e de empresas, gerentes                      "
111240,Vice-governador de estado,1112,111,11,1,Dirigentes gerais da administração pública,"Membros superiores do poder legislativo, executivo e judiciÁrio                                                                   ",Membros superiores e dirigentes do poder pÚblico                                                                                  ,"Membros superiores do poder pÚblico, dirigentes de organizaÇÕes de interesse pÚblico e de empresas, gerentes                      "
111345,Juiz do trabalho,1113,111,11,1,Magistrados,"Membros superiores do poder legislativo, executivo e judiciÁrio                                                                   ",Membros superiores e dirigentes do poder pÚblico                                                                                  ,"Membros superiores do poder pÚblico, dirigentes de organizaÇÕes de interesse pÚblico e de empresas, gerentes                      "
111305,Ministro do supremo tribunal federal,1113,111,11,1,Magistrados,"Membros superiores do poder legislativo, executivo e judiciÁrio                                                                   ",Membros superiores e dirigentes do poder pÚblico                                                                                  ,"Membros superiores do poder pÚblico, dirigentes de organizaÇÕes de interesse pÚblico e de empresas, gerentes                      "
111310,Ministro do superior tribunal de justiça,1113,111,11,1,Magistrados,"Membros superiores do poder legislativo, executivo e judiciÁrio                                                                   ",Membros superiores e dirigentes do poder pÚblico                                                                                  ,"Membros superiores do poder pÚblico, dirigentes de organizaÇÕes de interesse pÚblico e de empresas, gerentes                      "
111340,Juiz auditor estadual - justiça militar,1113,111,11,1,Magistrados,"Membros superiores do poder legislativo, executivo e judiciÁrio                                                                   ",Membros superiores e dirigentes do poder pÚblico                                                                                  ,"Membros superiores do poder pÚblico, dirigentes de organizaÇÕes de interesse pÚblico e de empresas, gerentes                      "
111335,Juiz auditor federal - justiça militar,1113,111,11,1,Magistrados,"Membros superiores do poder legislativo, executivo e judiciÁrio                                                                   ",Membros superiores e dirigentes do poder pÚblico                                                                                  ,"Membros superiores do poder pÚblico, dirigentes de organizaÇÕes de interesse pÚblico e de empresas, gerentes                      "
111330,Juiz federal,1113,111,11,1,Magistrados,"Membros superiores do poder legislativo, executivo e judiciÁrio                                                                   ",Membros superiores e dirigentes do poder pÚblico                                                                                  ,"Membros superiores do poder pÚblico, dirigentes de organizaÇÕes de interesse pÚblico e de empresas, gerentes                      "
111325,Juiz de direito,1113,111,11,1,Magistrados,"Membros superiores do poder legislativo, executivo e judiciÁrio                                                                   ",Membros superiores e dirigentes do poder pÚblico                                                                                  ,"Membros superiores do poder pÚblico, dirigentes de organizaÇÕes de interesse pÚblico e de empresas, gerentes                      "
111320,Ministro do  superior tribunal do trabalho,1113,111,11,1,Magistrados,"Membros superiores do poder legislativo, executivo e judiciÁrio                                                                   ",Membros superiores e dirigentes do poder pÚblico                                                                                  ,"Membros superiores do poder pÚblico, dirigentes de organizaÇÕes de interesse pÚblico e de empresas, gerentes                      "
111315,Ministro do  superior tribunal militar,1113,111,11,1,Magistrados,"Membros superiores do poder legislativo, executivo e judiciÁrio                                                                   ",Membros superiores e dirigentes do poder pÚblico                                                                                  ,"Membros superiores do poder pÚblico, dirigentes de organizaÇÕes de interesse pÚblico e de empresas, gerentes                      "
111405,Dirigente do serviço público federal,1114,111,11,1,Dirigentes do serviço público,"Membros superiores do poder legislativo, executivo e judiciÁrio                                                                   ",Membros superiores e dirigentes do poder pÚblico                                                                                  ,"Membros superiores do poder pÚblico, dirigentes de organizaÇÕes de interesse pÚblico e de empresas, gerentes                      "
111410,Dirigente do serviço público estadual e distrital,1114,111,11,1,Dirigentes do serviço público,"Membros superiores do poder legislativo, executivo e judiciÁrio                                                                   ",Membros superiores e dirigentes do poder pÚblico                                                                                  ,"Membros superiores do poder pÚblico, dirigentes de organizaÇÕes de interesse pÚblico e de empresas, gerentes                      "
111415,Dirigente do serviço público municipal,1114,111,11,1,Dirigentes do serviço público,"Membros superiores do poder legislativo, executivo e judiciÁrio                                                                   ",Membros superiores e dirigentes do poder pÚblico                                                                                  ,"Membros superiores do poder pÚblico, dirigentes de organizaÇÕes de interesse pÚblico e de empresas, gerentes                      "
111505,Especialista de políticas públicas e gestão governamental - eppgg,1115,111,11,1,Gestores públicos,"Membros superiores do poder legislativo, executivo e judiciÁrio                                                                   ",Membros superiores e dirigentes do poder pÚblico                                                                                  ,"Membros superiores do poder pÚblico, dirigentes de organizaÇÕes de interesse pÚblico e de empresas, gerentes                      "
111510,Analista de planejamento e orçamento - apo,1115,111,11,1,Gestores públicos,"Membros superiores do poder legislativo, executivo e judiciÁrio                                                                   ",Membros superiores e dirigentes do poder pÚblico                                                                                  ,"Membros superiores do poder pÚblico, dirigentes de organizaÇÕes de interesse pÚblico e de empresas, gerentes                      "
113015,Membro de liderança quilombola,1130,113,11,1,"Dirigentes de povos indígenas, de quilombolas e caiçaras",Chefes de pequenas populaÇÕes                                                                                                     ,Membros superiores e dirigentes do poder pÚblico                                                                                  ,"Membros superiores do poder pÚblico, dirigentes de organizaÇÕes de interesse pÚblico e de empresas, gerentes                      "
113010,Líder de comunidade caiçara,1130,113,11,1,"Dirigentes de povos indígenas, de quilombolas e caiçaras",Chefes de pequenas populaÇÕes                                                                                                     ,Membros superiores e dirigentes do poder pÚblico                                                                                  ,"Membros superiores do poder pÚblico, dirigentes de organizaÇÕes de interesse pÚblico e de empresas, gerentes                      "
113005,Cacique,1130,113,11,1,"Dirigentes de povos indígenas, de quilombolas e caiçaras",Chefes de pequenas populaÇÕes                                                                                                     ,Membros superiores e dirigentes do poder pÚblico                                                                                  ,"Membros superiores do poder pÚblico, dirigentes de organizaÇÕes de interesse pÚblico e de empresas, gerentes                      "
114105,Dirigente de partido político,1141,114,11,1,Dirigentes de partidos políticos,Dirigentes e administradores de organizaÇÃo de interesse pÚblico                                                                  ,Membros superiores e dirigentes do poder pÚblico                                                                                  ,"Membros superiores do poder pÚblico, dirigentes de organizaÇÕes de interesse pÚblico e de empresas, gerentes                      "
114210,Dirigentes de entidades patronais,1142,114,11,1,Dirigentes e administradores de entidades patronais e dos trabalhadores e de outros interesses sócioeconômicos,Dirigentes e administradores de organizaÇÃo de interesse pÚblico                                                                  ,Membros superiores e dirigentes do poder pÚblico                                                                                  ,"Membros superiores do poder pÚblico, dirigentes de organizaÇÕes de interesse pÚblico e de empresas, gerentes                      "
114205,Dirigentes de entidades de trabalhadores,1142,114,11,1,Dirigentes e administradores de entidades patronais e dos trabalhadores e de outros interesses sócioeconômicos,Dirigentes e administradores de organizaÇÃo de interesse pÚblico                                                                  ,Membros superiores e dirigentes do poder pÚblico                                                                                  ,"Membros superiores do poder pÚblico, dirigentes de organizaÇÕes de interesse pÚblico e de empresas, gerentes                      "
114305,Dirigente e administrador de organização religiosa,1143,114,11,1,Dirigentes e administradores de entidades religiosas,Dirigentes e administradores de organizaÇÃo de interesse pÚblico                                                                  ,Membros superiores e dirigentes do poder pÚblico                                                                                  ,"Membros superiores do poder pÚblico, dirigentes de organizaÇÕes de interesse pÚblico e de empresas, gerentes                      "
114405,Dirigente e administrador de organização da sociedade civil sem fins lucrativos,1144,114,11,1,Dirigentes e administradores de organizações da sociedade civil sem fins lucrativos,Dirigentes e administradores de organizaÇÃo de interesse pÚblico                                                                  ,Membros superiores e dirigentes do poder pÚblico                                                                                  ,"Membros superiores do poder pÚblico, dirigentes de organizaÇÕes de interesse pÚblico e de empresas, gerentes                      "
121005,Diretor de planejamento estratégico,1210,121,12,1,Diretores gerais,Diretores gerais                                                                                                                  ,Dirigentes de empresas e organizaÇÕes (exceto de interesse pÚblico)                                                               ,"Membros superiores do poder pÚblico, dirigentes de organizaÇÕes de interesse pÚblico e de empresas, gerentes                      "
121010,Diretor geral de empresa e organizações (exceto de interesse público),1210,121,12,1,Diretores gerais,Diretores gerais                                                                                                                  ,Dirigentes de empresas e organizaÇÕes (exceto de interesse pÚblico)                                                               ,"Membros superiores do poder pÚblico, dirigentes de organizaÇÕes de interesse pÚblico e de empresas, gerentes                      "
122120,Diretor de produção e operações em empresa pesqueira,1221,122,12,1,"Diretores de produção e operações em empresa agropecuária, pesqueira , aqüícola e florestal",Diretores de produÇÃo e operaÇÕes                                                                                                 ,Dirigentes de empresas e organizaÇÕes (exceto de interesse pÚblico)                                                               ,"Membros superiores do poder pÚblico, dirigentes de organizaÇÕes de interesse pÚblico e de empresas, gerentes                      "
122105,Diretor de produção e operações em empresa agropecuária,1221,122,12,1,"Diretores de produção e operações em empresa agropecuária, pesqueira , aqüícola e florestal",Diretores de produÇÃo e operaÇÕes                                                                                                 ,Dirigentes de empresas e organizaÇÕes (exceto de interesse pÚblico)                                                               ,"Membros superiores do poder pÚblico, dirigentes de organizaÇÕes de interesse pÚblico e de empresas, gerentes                      "
122110,Diretor de produção e operações em empresa aqüícola,1221,122,12,1,"Diretores de produção e operações em empresa agropecuária, pesqueira , aqüícola e florestal",Diretores de produÇÃo e operaÇÕes                                                                                                 ,Dirigentes de empresas e organizaÇÕes (exceto de interesse pÚblico)                                                               ,"Membros superiores do poder pÚblico, dirigentes de organizaÇÕes de interesse pÚblico e de empresas, gerentes                      "
122115,Diretor de produção e operações em empresa florestal,1221,122,12,1,"Diretores de produção e operações em empresa agropecuária, pesqueira , aqüícola e florestal",Diretores de produÇÃo e operaÇÕes                                                                                                 ,Dirigentes de empresas e organizaÇÕes (exceto de interesse pÚblico)                                                               ,"Membros superiores do poder pÚblico, dirigentes de organizaÇÕes de interesse pÚblico e de empresas, gerentes                      "
122205,"Diretor de produção e operações da indústria de transformação, extração mineral e utilidades",1222,122,12,1,"Diretores de produção e operações em empresa da indústria extrativa, transformação e de serviços de utilidade pública",Diretores de produÇÃo e operaÇÕes                                                                                                 ,Dirigentes de empresas e organizaÇÕes (exceto de interesse pÚblico)                                                               ,"Membros superiores do poder pÚblico, dirigentes de organizaÇÕes de interesse pÚblico e de empresas, gerentes                      "
122305,Diretor de operações de obras pública e civil,1223,122,12,1,Diretores de operações de obras em empresa de construção,Diretores de produÇÃo e operaÇÕes                                                                                                 ,Dirigentes de empresas e organizaÇÕes (exceto de interesse pÚblico)                                                               ,"Membros superiores do poder pÚblico, dirigentes de organizaÇÕes de interesse pÚblico e de empresas, gerentes                      "
122405,Diretor de operações comerciais (comércio atacadista e varejista),1224,122,12,1,Diretores de operações em empresa do comércio,Diretores de produÇÃo e operaÇÕes                                                                                                 ,Dirigentes de empresas e organizaÇÕes (exceto de interesse pÚblico)                                                               ,"Membros superiores do poder pÚblico, dirigentes de organizaÇÕes de interesse pÚblico e de empresas, gerentes                      "
122515,Diretor de  produção e operações de turismo,1225,122,12,1,"Diretores de serviços de turismo, de alojamento e de alimentação",Diretores de produÇÃo e operaÇÕes                                                                                                 ,Dirigentes de empresas e organizaÇÕes (exceto de interesse pÚblico)                                                               ,"Membros superiores do poder pÚblico, dirigentes de organizaÇÕes de interesse pÚblico e de empresas, gerentes                      "
122520,Turismólogo,1225,122,12,1,"Diretores de serviços de turismo, de alojamento e de alimentação",Diretores de produÇÃo e operaÇÕes                                                                                                 ,Dirigentes de empresas e organizaÇÕes (exceto de interesse pÚblico)                                                               ,"Membros superiores do poder pÚblico, dirigentes de organizaÇÕes de interesse pÚblico e de empresas, gerentes                      "
122510,Diretor de  produção e operações de hotel,1225,122,12,1,"Diretores de serviços de turismo, de alojamento e de alimentação",Diretores de produÇÃo e operaÇÕes                                                                                                 ,Dirigentes de empresas e organizaÇÕes (exceto de interesse pÚblico)                                                               ,"Membros superiores do poder pÚblico, dirigentes de organizaÇÕes de interesse pÚblico e de empresas, gerentes                      "
122505,Diretor de  produção e operações de alimentação,1225,122,12,1,"Diretores de serviços de turismo, de alojamento e de alimentação",Diretores de produÇÃo e operaÇÕes                                                                                                 ,Dirigentes de empresas e organizaÇÕes (exceto de interesse pÚblico)                                                               ,"Membros superiores do poder pÚblico, dirigentes de organizaÇÕes de interesse pÚblico e de empresas, gerentes                      "
122620,Diretor de operações de serviços de transporte,1226,122,12,1,"Diretores de operações de serviços em empresa de armazenamento, de transporte e de telecomunicação",Diretores de produÇÃo e operaÇÕes                                                                                                 ,Dirigentes de empresas e organizaÇÕes (exceto de interesse pÚblico)                                                               ,"Membros superiores do poder pÚblico, dirigentes de organizaÇÕes de interesse pÚblico e de empresas, gerentes                      "
122605,Diretor de operações de correios,1226,122,12,1,"Diretores de operações de serviços em empresa de armazenamento, de transporte e de telecomunicação",Diretores de produÇÃo e operaÇÕes                                                                                                 ,Dirigentes de empresas e organizaÇÕes (exceto de interesse pÚblico)                                                               ,"Membros superiores do poder pÚblico, dirigentes de organizaÇÕes de interesse pÚblico e de empresas, gerentes                      "
122610,Diretor de operações de serviços de armazenamento,1226,122,12,1,"Diretores de operações de serviços em empresa de armazenamento, de transporte e de telecomunicação",Diretores de produÇÃo e operaÇÕes                                                                                                 ,Dirigentes de empresas e organizaÇÕes (exceto de interesse pÚblico)                                                               ,"Membros superiores do poder pÚblico, dirigentes de organizaÇÕes de interesse pÚblico e de empresas, gerentes                      "
122615,Diretor de operações de serviços de telecomunicações,1226,122,12,1,"Diretores de operações de serviços em empresa de armazenamento, de transporte e de telecomunicação",Diretores de produÇÃo e operaÇÕes                                                                                                 ,Dirigentes de empresas e organizaÇÕes (exceto de interesse pÚblico)                                                               ,"Membros superiores do poder pÚblico, dirigentes de organizaÇÕes de interesse pÚblico e de empresas, gerentes                      "
122710,Diretor de produtos bancários,1227,122,12,1,Diretores de operações de serviços em instituição de intermediação financeira,Diretores de produÇÃo e operaÇÕes                                                                                                 ,Dirigentes de empresas e organizaÇÕes (exceto de interesse pÚblico)                                                               ,"Membros superiores do poder pÚblico, dirigentes de organizaÇÕes de interesse pÚblico e de empresas, gerentes                      "
122755,Diretor de riscos de mercado,1227,122,12,1,Diretores de operações de serviços em instituição de intermediação financeira,Diretores de produÇÃo e operaÇÕes                                                                                                 ,Dirigentes de empresas e organizaÇÕes (exceto de interesse pÚblico)                                                               ,"Membros superiores do poder pÚblico, dirigentes de organizaÇÕes de interesse pÚblico e de empresas, gerentes                      "
122750,Diretor de recuperação de créditos em operações de intermediação financeira,1227,122,12,1,Diretores de operações de serviços em instituição de intermediação financeira,Diretores de produÇÃo e operaÇÕes                                                                                                 ,Dirigentes de empresas e organizaÇÕes (exceto de interesse pÚblico)                                                               ,"Membros superiores do poder pÚblico, dirigentes de organizaÇÕes de interesse pÚblico e de empresas, gerentes                      "
122745,Diretor de mercado de capitais,1227,122,12,1,Diretores de operações de serviços em instituição de intermediação financeira,Diretores de produÇÃo e operaÇÕes                                                                                                 ,Dirigentes de empresas e organizaÇÕes (exceto de interesse pÚblico)                                                               ,"Membros superiores do poder pÚblico, dirigentes de organizaÇÕes de interesse pÚblico e de empresas, gerentes                      "
122740,Diretor de leasing,1227,122,12,1,Diretores de operações de serviços em instituição de intermediação financeira,Diretores de produÇÃo e operaÇÕes                                                                                                 ,Dirigentes de empresas e organizaÇÕes (exceto de interesse pÚblico)                                                               ,"Membros superiores do poder pÚblico, dirigentes de organizaÇÕes de interesse pÚblico e de empresas, gerentes                      "
122735,Diretor de crédito imobiliário,1227,122,12,1,Diretores de operações de serviços em instituição de intermediação financeira,Diretores de produÇÃo e operaÇÕes                                                                                                 ,Dirigentes de empresas e organizaÇÕes (exceto de interesse pÚblico)                                                               ,"Membros superiores do poder pÚblico, dirigentes de organizaÇÕes de interesse pÚblico e de empresas, gerentes                      "
122730,Diretor de crédito (exceto crédito imobiliário),1227,122,12,1,Diretores de operações de serviços em instituição de intermediação financeira,Diretores de produÇÃo e operaÇÕes                                                                                                 ,Dirigentes de empresas e organizaÇÕes (exceto de interesse pÚblico)                                                               ,"Membros superiores do poder pÚblico, dirigentes de organizaÇÕes de interesse pÚblico e de empresas, gerentes                      "
