CBO ID O,CBO label O,CBO ID F,CBO ID SG,CBO ID SGP,CBO ID GG,CBO label F,CBO label SG,CBO label SGP,CBO label GG
010105,Oficial general da aeronáutica,0101,010,01,0,Oficiais generais das forças armadas,Membros das forÇas armadas                                                                                                        ,Membros das forÇas armadas                                                                                                        ,"Membros das forÇas armadas, policiais e bombeiros militares                                                                       "
010110,Oficial general do exército,0101,010,01,0,Oficiais generais das forças armadas,Membros das forÇas armadas                                                                                                        ,Membros das forÇas armadas                                                                                                        ,"Membros das forÇas armadas, policiais e bombeiros militares                                                                       "
010115,Oficial general da marinha,0101,010,01,0,Oficiais generais das forças armadas,Membros das forÇas armadas                                                                                                        ,Membros das forÇas armadas                                                                                                        ,"Membros das forÇas armadas, policiais e bombeiros militares                                                                       "
010215,Oficial da marinha,0102,010,01,0,Oficiais das forças armadas,Membros das forÇas armadas                                                                                                        ,Membros das forÇas armadas                                                                                                        ,"Membros das forÇas armadas, policiais e bombeiros militares                                                                       "
010210,Oficial do exército,0102,010,01,0,Oficiais das forças armadas,Membros das forÇas armadas                                                                                                        ,Membros das forÇas armadas                                                                                                        ,"Membros das forÇas armadas, policiais e bombeiros militares                                                                       "
010205,Oficial da aeronáutica,0102,010,01,0,Oficiais das forças armadas,Membros das forÇas armadas                                                                                                        ,Membros das forÇas armadas                                                                                                        ,"Membros das forÇas armadas, policiais e bombeiros militares                                                                       "
010310,Praça do exército,0103,010,01,0,Praças das forças armadas,Membros das forÇas armadas                                                                                                        ,Membros das forÇas armadas                                                                                                        ,"Membros das forÇas armadas, policiais e bombeiros militares                                                                       "
010315,Praça da marinha,0103,010,01,0,Praças das forças armadas,Membros das forÇas armadas                                                                                                        ,Membros das forÇas armadas                                                                                                        ,"Membros das forÇas armadas, policiais e bombeiros militares                                                                       "
010305,Praça da aeronáutica,0103,010,01,0,Praças das forças armadas,Membros das forÇas armadas                                                                                                        ,Membros das forÇas armadas                                                                                                        ,"Membros das forÇas armadas, policiais e bombeiros militares                                                                       "
020115,Major da polícia militar,0201,020,02,0,Oficiais superiores da polícia militar,Oficiais de polÍcia militar                                                                                                       ,Policiais militares                                                                                                               ,"Membros das forÇas armadas, policiais e bombeiros militares                                                                       "
020105,Coronel da polícia militar,0201,020,02,0,Oficiais superiores da polícia militar,Oficiais de polÍcia militar                                                                                                       ,Policiais militares                                                                                                               ,"Membros das forÇas armadas, policiais e bombeiros militares                                                                       "
020110,Tenente-coronel da polícia militar,0201,020,02,0,Oficiais superiores da polícia militar,Oficiais de polÍcia militar                                                                                                       ,Policiais militares                                                                                                               ,"Membros das forÇas armadas, policiais e bombeiros militares                                                                       "
020205,Capitão da polícia militar,0202,020,02,0,Capitães da  polícia militar,Oficiais de polÍcia militar                                                                                                       ,Policiais militares                                                                                                               ,"Membros das forÇas armadas, policiais e bombeiros militares                                                                       "
020305,Primeiro tenente de polícia militar,0203,020,02,0,Tenentes da polícia militar,Oficiais de polÍcia militar                                                                                                       ,Policiais militares                                                                                                               ,"Membros das forÇas armadas, policiais e bombeiros militares                                                                       "
020310,Segundo tenente de polícia militar,0203,020,02,0,Tenentes da polícia militar,Oficiais de polÍcia militar                                                                                                       ,Policiais militares                                                                                                               ,"Membros das forÇas armadas, policiais e bombeiros militares                                                                       "
021105,Subtenente da policia militar,0211,021,02,0,Subtenentes e sargentos da policia militar,PraÇas de polÍcia militar                                                                                                         ,Policiais militares                                                                                                               ,"Membros das forÇas armadas, policiais e bombeiros militares                                                                       "
021110,Sargento da policia militar,0211,021,02,0,Subtenentes e sargentos da policia militar,PraÇas de polÍcia militar                                                                                                         ,Policiais militares                                                                                                               ,"Membros das forÇas armadas, policiais e bombeiros militares                                                                       "
021205,Cabo da polícia militar,0212,021,02,0,Cabos e soldados da polícia militar,PraÇas de polÍcia militar                                                                                                         ,Policiais militares                                                                                                               ,"Membros das forÇas armadas, policiais e bombeiros militares                                                                       "
021210,Soldado da polícia militar,0212,021,02,0,Cabos e soldados da polícia militar,PraÇas de polÍcia militar                                                                                                         ,Policiais militares                                                                                                               ,"Membros das forÇas armadas, policiais e bombeiros militares                                                                       "
