CNAE ID CNG,CNAE label CNG,annual_avg_emplvl,CLAE 3,Descripción CLAE 3,annual_avg_emplvl
268,"Fabricacao de midias virgens, magneticas e opticas",0.0,268,FABRICACIÓN DE SOPORTES ÓPTICOS Y MAGNÉTICOS,0.0
271,"Fabricacao de geradores, transformadores e motores eletricos",0.09,271,"FABRICACIÓN DE MOTORES, GENERADORES Y TRANSFORMADORES ELÉCTRICOS Y APARATOS DE DISTRIBUCIÓN Y CONTROL DE LA ENERGÍA ELÉCTRICA",0.18
272,"Fabricacao de pilhas, baterias e acumuladores eletricos",0.02,272,"FABRICACIÓN DE ACUMULADORES, PILAS Y BATERÍAS PRIMARIAS",0.01
273,Fabricacao de equipamentos para distribuicao e controle de energia eletrica,0.14,273,FABRICACIÓN DE HILOS Y CABLES AISLADOS,0.04
274,Fabricacao de lampadas e outros equipamentos de iluminacao,0.03,274,FABRICACIÓN DE LÁMPARAS ELÉCTRICAS Y EQUIPO DE ILUMINACIÓN,0.02
275,Fabricacao de eletrodomesticos,0.12,275,FABRICACIÓN DE APARATOS DE USO DOMÉSTICO NCP,0.26
279,Fabricacao de equipamentos e aparelhos eletricos nao especificados anteriormente,0.07,279,FABRICACIÓN DE EQUIPO ELÉCTRICO NCP,0.08
281,"Fabricacao de motores, bombas, compressores e equipamentos de transmissao",0.12,281,FABRICACIÓN DE MAQUINARIA Y EQUIPO DE USO GENERAL,0.31
282,Fabricacao de maquinas e equipamentos de uso geral,0.27,281,FABRICACIÓN DE MAQUINARIA Y EQUIPO DE USO GENERAL,0.31
283,Fabricacao de tratores e de maquinas e equipamentos para a agricultura e pecuaria,0.16,282,FABRICACIÓN DE MAQUINARIA Y EQUIPO DE USO ESPECIAL,0.75
284,Fabricacao de maquinas-ferramenta,0.04,282,FABRICACIÓN DE MAQUINARIA Y EQUIPO DE USO ESPECIAL,0.75
285,Fabricacao de maquinas e equipamentos de uso na extracao mineral e na construcao,0.06,282,FABRICACIÓN DE MAQUINARIA Y EQUIPO DE USO ESPECIAL,0.75
286,Fabricacao de maquinas e equipamentos de uso industrial especifico,0.2,282,FABRICACIÓN DE MAQUINARIA Y EQUIPO DE USO ESPECIAL,0.75
291,"Fabricacao de automoveis, camionetas e utilitarios",0.2,291,FABRICACIÓN DE VEHÍCULOS AUTOMOTORES,0.01
292,Fabricacao de caminhoes e onibus,0.06,291,FABRICACIÓN DE VEHÍCULOS AUTOMOTORES,0.01
293,"Fabricacao de cabines, carrocerias e reboques para veiculos automotores",0.13,292,FABRICACIÓN DE CARROCERÍAS PARA VEHÍCULOS AUTOMOTORES; FABRICACIÓN DE REMOLQUES Y SEMIRREMOLQUES,0.11
294,Fabricacao de pecas e acessorios para veiculos automotores,0.66,293,"FABRICACIÓN DE PARTES, PIEZAS Y ACCESORIOS PARA VEHÍCULOS AUTOMOTORES Y SUS MOTORES",0.92
295,Recondicionamento e recuperacao de motores para veiculos automotores,0.02,293,"FABRICACIÓN DE PARTES, PIEZAS Y ACCESORIOS PARA VEHÍCULOS AUTOMOTORES Y SUS MOTORES",0.92
301,Construcao de embarcacoes,0.11,301,CONSTRUCCIÓN Y REPARACIÓN DE BUQUES Y EMBARCACIONES,0.09
303,Fabricacao de veiculos ferroviarios,0.01,302,FABRICACIÓN Y REPARACIÓN DE LOCOMOTORAS Y DE MATERIAL RODANTE PARA TRANSPORTE FERROVIARIO,0.0
304,Fabricacao de aeronaves,0.04,303,FABRICACIÓN Y REPARACIÓN DE AERONAVES,0.0
305,Fabricacao de veiculos militares de combate,0.0,309,FABRICACIÓN DE EQUIPO DE TRANSPORTE NCP,0.04
309,Fabricacao de equipamentos de transporte nao especificados anteriormente,0.06,309,FABRICACIÓN DE EQUIPO DE TRANSPORTE NCP,0.04
310,Fabricacao de moveis,0.58,310,FABRICACIÓN DE MUEBLES Y COLCHONES,0.5
321,"Fabricacao de artigos de joalheria, bijuteria e semelhantes",0.04,321,"FABRICACIÓN DE JOYAS, BIJOUTERIE Y ARTÍCULOS CONEXOS",0.0
322,Fabricacao de instrumentos musicais,0.0,322,FABRICACIÓN DE INSTRUMENTOS DE MÚSICA,0.0
323,Fabricacao de artefatos para pesca e esporte,0.01,323,FABRICACIÓN DE ARTÍCULOS DE DEPORTE,0.01
324,Fabricacao de brinquedos e jogos recreativos,0.03,324,FABRICACIÓN DE JUEGOS Y JUGUETES,0.01
325,Fabricacao de instrumentos e materiais para uso medico e odontologico e de artigos opticos,0.11,329,INDUSTRIAS MANUFACTURERAS NCP,0.19
329,Fabricacao de produtos diversos,0.12,329,INDUSTRIAS MANUFACTURERAS NCP,0.19
331,Manutencao e reparacao de maquinas e equipamentos,0.28,331,REPARACIÓN Y MANTENIMIENTO DE MÁQUINAS Y EQUIPO,0.11
332,Instalacao de maquinas e equipamentos,0.08,332,INSTALACIÓN DE MAQUINARIA Y EQUIPOS INDUSTRIALES,0.0
351,"Geracao, transmissao e distribuicao de energia eletrica",0.25,351,"GENERACIÓN, TRANSPORTE Y DISTRIBUCIÓN DE ENERGÍA ELÉCTRICA",0.39
352,Producao e distribuicao de combustiveis gasosos por redes urbanas,0.01,352,FABRICACIÓN Y DISTRIBUCIÓN DE GAS Y DE COMBUSTIBLES GASEOSOS POR TUBERÍAS,0.0
353,"Producao e distribuicao de vapor, agua quente e ar condicionado",0.0,353,SUMINISTRO DE VAPOR Y AIRE ACONDICIONADO,0.0
360,"Captacao, tratamento e distribuicao de agua",0.27,360,"CAPTACIÓN, DEPURACIÓN Y DISTRIBUCIÓN DE AGUA",0.08
370,Esgoto e atividades relacionadas,0.04,370,"SERVICIOS DE DEPURACIÓN DE AGUAS RESIDUALES, ALCANTARILLADO Y CLOACAS",0.01
381,Coleta de residuos,0.26,381,"RECOLECCIÓN, TRANSPORTE, TRATAMIENTO Y DISPOSICIÓN FINAL DE RESIDUOS",0.26
382,Tratamento e disposicao de residuos,0.07,381,"RECOLECCIÓN, TRANSPORTE, TRATAMIENTO Y DISPOSICIÓN FINAL DE RESIDUOS",0.26
383,Recuperacao de materiais,0.07,382,RECUPERACIÓN DE MATERIALES Y DESHECHOS,0.04
390,Descontaminacao e outros servicos de gestao de residuos,0.0,390,DESCONTAMINACIÓN Y OTROS SERVICIOS DE GESTIÓN DE RESIDUOS,0.0
411,Incorporacao de empreendimentos imobiliarios,0.39,410,CONSTRUCCIÓN DE EDIFICIOS Y SUS PARTES,4.89
412,Construcao de edificios,2.38,410,CONSTRUCCIÓN DE EDIFICIOS Y SUS PARTES,4.89
421,"Construcao de rodovias, ferrovias, obras urbanas e obras-de-arte especiais",0.72,421,"CONSTRUCCIÓN, REFORMA Y REPARACIÓN DE OBRAS DE INFRAESTRUCTURA PARA EL TRANSPORTE",0.65
422,"Obras de infra-estrutura para energia eletrica, telecomunicacoes, agua, esgoto e transporte por dutos",0.47,422,CONSTRUCCIÓN DE PROYECTOS DE SERVICIOS PÚBLICOS,0.69
429,Construcao de outras obras de infra-estrutura,0.74,429,OBRAS DE INGENIERÍA CIVIL NCP,0.63
431,Demolicao e preparacao do terreno,0.22,431,"DEMOLICIÓN, MOVIMIENTO Y PREPARACIÓN DE TERRENOS PARA OBRAS",0.22
432,"Instalacoes eletricas, hidraulicas e outras instalacoes em construcoes",0.57,432,INSTALACIONES PARA EDIFICIOS Y OBRAS DE INGENIERÍA CIVIL,0.73
433,Obras de acabamento,0.36,433,TERMINACIÓN DE EDIFICIOS,0.2
439,Outros servicos especializados para construcao,0.42,439,ALQUILER DE EQUIPO DE CONSTRUCCIÓN O DEMOLICIÓN DOTADO DE OPERARIOS Y ACTIVIDADES ESPECIALIZADAS DE CONSTRUCCIÓN NCP,0.32
451,Comercio de veiculos automotores,0.61,451,"VENTA DE VEHÍCULOS AUTOMOTORES, EXCEPTO MOTOCICLETAS",0.85
452,Manutencao e reparacao de veiculos automotores,0.41,452,"MANTENIMIENTO Y REPARACIÓN DE VEHÍCULOS AUTOMOTORES, EXCEPTO MOTOCICLETAS",0.58
453,Comercio de pecas e acessorios para veiculos automotores,0.91,453,"VENTA DE PARTES, PIEZAS Y ACCESORIOS DE VEHÍCULOS AUTOMOTORES",0.75
454,"Comercio, manutencao e reparacao de motocicletas, pecas e acessorios",0.19,454,"VENTA, MANTENIMIENTO Y REPARACIÓN DE MOTOCICLETAS Y DE SUS PARTES, PIEZAS Y ACCESORIOS",0.13
461,"Representantes comerciais e agentes do comercio, exceto de veiculos automotores e motocicletas",0.12,461,VENTA AL POR MAYOR EN COMISIÓN O CONSIGNACIÓN,1.03
462,Comercio atacadista de materias-primas agricolas e animais vivos,0.14,462,VENTA AL POR MAYOR DE MATERIAS PRIMAS AGROPECUARIAS Y DE ANIMALES VIVOS,0.23
463,"Comercio atacadista especializado em produtos alimenticios, bebidas e fumo",0.97,463,"VENTA AL POR MAYOR DE ALIMENTOS, BEBIDAS Y TABACO",2.31
464,Comercio atacadista de produtos de consumo nao-alimentar,0.7,464,VENTA AL POR MAYOR DE ARTÍCULOS DE USO DOMÉSTICO Y/O PERSONAL,1.09
465,Comercio atacadista de equipamentos e produtos de tecnologias de informacao e comunicacao,0.08,465,"VENTA AL POR MAYOR DE MÁQUINAS, EQUIPO Y MATERIALES CONEXOS",0.63
466,"Comercio atacadista de maquinas, aparelhos e equipamentos, exceto de tecnologias de informacao e comunicacao",0.25,465,"VENTA AL POR MAYOR DE MÁQUINAS, EQUIPO Y MATERIALES CONEXOS",0.63
467,"Comercio atacadista de madeira, ferragens, ferramentas, material eletrico e material de construcao",0.24,465,"VENTA AL POR MAYOR DE MÁQUINAS, EQUIPO Y MATERIALES CONEXOS",0.63
468,Comercio atacadista especializado em outros produtos,0.46,466,VENTA AL POR MAYOR ESPECIALIZADA,1.07
469,Comercio atacadista nao-especializado,0.28,469,VENTA AL POR MAYOR DE MERCANCÍAS NCP,0.38
471,Comercio varejista nao-especializado,3.45,471,VENTA AL POR MENOR EN COMERCIOS NO ESPECIALIZADOS,2.9
472,"Comercio varejista de produtos alimenticios, bebidas e fumo",1.27,472,"VENTA AL POR MENOR DE PRODUCTOS ALIMENTICIOS, BEBIDAS Y TABACO EN COMERCIOS ESPECIALIZADOS",1.71
473,Comercio varejista de combustiveis para veiculos automotores,0.72,473,VENTA AL POR MENOR DE COMBUSTIBLE PARA VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS,1.23
474,Comercio varejista de material de construcao,1.66,477,"VENTA AL POR MENOR DE PRODUCTOS NCP, EN COMERCIOS ESPECIALIZADOS",3.8
475,Comercio varejista de equipamentos de informatica e comunicacao; equipamentos e artigos de uso domestico,1.93,475,VENTA AL POR MENOR DE EQUIPOS DE USO DOMÉSTICO NCP EN COMERCIOS ESPECIALIZADOS,2.71
475,Comercio varejista de equipamentos de informatica e comunicacao; equipamentos e artigos de uso domestico,1.93,474,"VENTA AL POR MENOR DE EQUIPOS, PERIFÉRICOS, ACCESORIOS Y PROGRAMAS INFORMÁTICOS; EQUIPOS DE TELECOMUNICACIONES EN COMERCIOS ESPECIALIZADOS",0.15
476,"Comercio varejista de artigos culturais, recreativos e esportivos",0.45,476,VENTA AL POR MENOR DE BIENES CULTURALES Y RECREATIVOS EN COMERCIOS ESPECIALIZADOS,0.47
477,"Comercio varejista de produtos farmaceuticos, perfumaria e cosmeticos e artigos medicos, opticos e ortopedicos",1.24,477,"VENTA AL POR MENOR DE PRODUCTOS NCP, EN COMERCIOS ESPECIALIZADOS",3.8
478,Comercio varejista de produtos novos nao especificados anteriormente e de produtos usados,3.15,477,"VENTA AL POR MENOR DE PRODUCTOS NCP, EN COMERCIOS ESPECIALIZADOS",3.8
478,Comercio varejista de produtos novos nao especificados anteriormente e de produtos usados,3.15,478,VENTA AL POR MENOR EN PUESTOS MÓVILES Y MERCADOS,0.0
478,Comercio varejista de produtos novos nao especificados anteriormente e de produtos usados,3.15,479,"VENTA AL POR MENOR NO REALIZADA EN COMERCIOS, PUESTOS O MERCADOS",0.05
491,Transporte ferroviario e metroferroviario,0.13,491,SERVICIO DE TRANSPORTE FERROVIARIO,0.0
492,Transporte rodoviario de passageiros,1.55,492,SERVICIO DE TRANSPORTE AUTOMOTOR,6.08
493,Transporte rodoviario de carga,1.81,492,SERVICIO DE TRANSPORTE AUTOMOTOR,6.08
494,Transporte dutoviario,0.01,493,SERVICIO DE TRANSPORTE POR TUBERÍAS,0.0
495,"Trens turisticos, telefericos e similares",0.0,491,SERVICIO DE TRANSPORTE FERROVIARIO,0.0
501,Transporte maritimo de cabotagem e longo curso,0.02,501,SERVICIO DE TRANSPORTE MARÍTIMO,0.0
502,Transporte por navegacao interior,0.02,502,SERVICIO DE TRANSPORTE FLUVIAL Y LACUSTRE,0.02
503,Navegacao de apoio,0.03,502,SERVICIO DE TRANSPORTE FLUVIAL Y LACUSTRE,0.02
509,Outros transportes aquaviarios,0.01,502,SERVICIO DE TRANSPORTE FLUVIAL Y LACUSTRE,0.02
511,Transporte aereo de passageiros,0.14,511,SERVICIO DE TRANSPORTE AÉREO DE PASAJEROS,0.0
512,Transporte aereo de carga,0.0,512,SERVICIO DE TRANSPORTE AÉREO DE CARGAS,0.0
513,Transporte espacial,0.0,513,Transporte espacial,0.0
521,"Armazenamento, carga e descarga",0.26,521,SERVICIOS DE MANIPULACIÓN DE CARGAS,0.11
521,"Armazenamento, carga e descarga",0.26,522,SERVICIOS DE ALMACENAMIENTO Y DEPÓSITO,0.05
522,Atividades auxiliares dos transportes terrestres,0.26,523,SERVICIOS DE GESTIÓN Y LOGÍSTICA PARA EL TRANSPORTE DE MERCADERÍAS,0.26
522,Atividades auxiliares dos transportes terrestres,0.26,524,SERVICIOS COMPLEMENTARIOS PARA EL TRANSPORTE,0.39
523,Atividades auxiliares dos transportes aquaviarios,0.1,524,SERVICIOS COMPLEMENTARIOS PARA EL TRANSPORTE,0.39
