CIIU ID CI4,CIIU label CI4,CIIU ID CI2,CIIU ID CI1,CIIU ID CI0
1921,Fabricacion de productos de la refinacion del petroleo,19,3,0
1922,Actividad de mezcla de combustibles,19,3,0
2011,Fabricacion de sustancias y productos quimicos basicos,20,3,0
2012,Fabricacion de abonos y compuestos inorganicos nitrogenados,20,3,0
2013,Fabricacion de plasticos en formas primarias,20,3,0
2014,Fabricacion de caucho sintetico en formas primarias,20,3,0
2021,Fabricacion de plaguicidas y otros productos quimicos de uso agropecuario,20,3,0
2022,"Fabricacion de pinturas, barnices y revestimientos similares, tintas para impresion y masillas",20,3,0
2023,"Fabricacion de jabones y detergentes, preparados para limpiar y pulir; perfumes y preparados de tocador",20,3,0
2029,Fabricacion de otros productos quimicos n.c.p.,20,3,0
2030,Fabricacion de fibras sinteticas y artificiales,20,3,0
2100,"Fabricacion de productos farmaceuticos, sustancias quimicas medicinales y productos botanicos de uso farmaceutico",21,3,0
2211,Fabricacion de llantas y neumaticos de caucho,22,3,0
2212,Reencauche de llantas usadas,22,3,0
2219,Fabricacion de formas basicas de caucho y otros productos de caucho n.c.p.,22,3,0
2221,Fabricacion de formas basicas de plastico,22,3,0
2229,Fabricacion de articulos de plastico n.c.p.,22,3,0
2310,Fabricacion de vidrio y productos de vidrio,23,3,0
2391,Fabricacion de productos refractarios,23,3,0
2392,Fabricacion de materiales de arcilla para la construccion,23,3,0
2393,Fabricacion de otros productos de ceramica y porcelana,23,3,0
2394,"Fabricacion de cemento, cal y yeso",23,3,0
2395,"Fabricacion de articulos de hormigon, cemento y yeso",23,3,0
2396,"Corte, tallado y acabado de la piedra",23,3,0
2399,Fabricacion de otros productos minerales no metalicos n.c.p.,23,3,0
2410,Industrias basicas de hierro y de acero,24,3,0
2421,Industrias basicas de metales preciosos,24,3,0
2429,Industrias basicas de otros metales no ferrosos,24,3,0
2431,Fundicion de hierro y de acero,24,3,0
2432,Fundicion de metales no ferrosos ,24,3,0
2511,Fabricacion de productos metalicos para uso estructural,25,3,0
2512,"Fabricacion de tanques, depositos y recipientes de metal, excepto los utilizados para el envase o transporte de mercancias",25,3,0
2513,"Fabricacion de generadores de vapor, excepto calderas de agua caliente para calefaccion central",25,3,0
2520,Fabricacion de armas y municiones,25,3,0
2591,"Forja, prensado, estampado y laminado de metal; pulvimetalurgia",25,3,0
2592,Tratamiento y revestimiento de metales; mecanizado,25,3,0
2593,"Fabricacion de articulos de cuchilleria, herramientas de mano y articulos de ferreteria",25,3,0
2599,Fabricacion de otros productos elaborados de metal n.c.p.,25,3,0
2610,Fabricacion de componentes y tableros electronicos,26,3,0
2620,Fabricacion de computadoras y de equipo periferico,26,3,0
2630,Fabricacion de equipos de comunicacion,26,3,0
2640,Fabricacion de aparatos electronicos de consumo,26,3,0
2651,"Fabricacion de equipo de medicion, prueba, navegacion y control",26,3,0
2652,Fabricacion de relojes,26,3,0
2660,Fabricacion de equipo de irradiacion y equipo electronico de uso medico y terapeutico,26,3,0
2670,Fabricacion de instrumentos opticos y equipo fotografico,26,3,0
2680,Fabricacion de medios magneticos y opticos para almacenamiento de datos,26,3,0
2711,"Fabricacion de motores, generadores y transformadores electricos",27,3,0
2712,Fabricacion de aparatos de distribucion y control de la energia electrica,27,3,0
2720,"Fabricacion de pilas, baterias y acumuladores electricos",27,3,0
2731,Fabricacion de hilos y cables electricos y de fibra optica,27,3,0
2732,Fabricacion de dispositivos de cableado,27,3,0
2740,Fabricacion de equipos electricos de iluminacion,27,3,0
2750,Fabricacion de aparatos de uso domestico,27,3,0
2790,Fabricacion de otros tipos de equipo electrico n.c.p.,27,3,0
2811,"Fabricacion de motores, turbinas, y partes para motores de combustion interna",28,3,0
2812,Fabricacion de equipos de potencia hidraulica y neumatica,28,3,0
2813,"Fabricacion de otras bombas, compresores, grifos y valvulas",28,3,0
2814,"Fabricacion de cojinetes, engranajes, trenes de engranajes y piezas de transmision",28,3,0
2815,"Fabricacion de hornos, hogares y quemadores industriales",28,3,0
2816,Fabricacion de equipo de elevacion y manipulacion,28,3,0
2817,Fabricacion de maquinaria y equipo de oficina (excepto computadoras y equipo periferico),28,3,0
2818,Fabricacion de herramientas manuales con motor,28,3,0
2819,Fabricacion de otros tipos de maquinaria y equipo de uso general n.c.p.,28,3,0
2821,Fabricacion de maquinaria agropecuaria y forestal,28,3,0
2822,Fabricacion de maquinas formadoras de metal y de maquinas herramienta,28,3,0
2823,Fabricacion de maquinaria para la metalurgia,28,3,0
2824,Fabricacion de maquinaria para explotacion de minas y canteras y para obras de construccion,28,3,0
2825,"Fabricacion de maquinaria para la elaboracion de alimentos, bebidas y tabaco",28,3,0
2826,"Fabricacion de maquinaria para la elaboracion de productos textiles, prendas de vestir y cueros",28,3,0
2829,Fabricacion de otros tipos de maquinaria y equipo de uso especial n.c.p.,28,3,0
2910,Fabricacion de vehiculos automotores y sus motores,29,3,0
2920,Fabricacion de carrocerias para vehiculos automotores; fabricacion de remolques y semirremolques ,29,3,0
2930,"Fabricacion de partes, piezas (autopartes) y accesorios (lujos) para vehiculos automotores",29,3,0
3011,Construccion de barcos y de estructuras flotantes,30,3,0
3012,Construccion de embarcaciones de recreo y deporte,30,3,0
3020,Fabricacion de locomotoras y de material rodante para ferrocarriles,30,3,0
3030,"Fabricacion de aeronaves, naves espaciales y de maquinaria conexa",30,3,0
3040,Fabricacion de vehiculos militares de combate,30,3,0
3091,Fabricacion de motocicletas,30,3,0
3092,Fabricacion de bicicletas y de sillas de ruedas para personas con discapacidad,30,3,0
3099,Fabricacion de otros tipos de equipo de transporte n.c.p.,30,3,0
3110,Fabricacion de muebles ,31,3,0
3120,Fabricacion de colchones y somieres,31,3,0
3210,"Fabricacion de joyas, bisuteria y articulos conexos",32,3,0
3220,Fabricacion de instrumentos musicales,32,3,0
3230,Fabricacion de articulos y equipo para la practica del deporte,32,3,0
3240,"Fabricacion de juegos, juguetes y rompecabezas",32,3,0
3250,"Fabricacion de instrumentos, aparatos y materiales medicos y odontologicos (incluido mobiliario)",32,3,0
3290,Otras industrias manufactureras n.c.p.,32,3,0
3311,Mantenimiento y reparacion especializado de productos elaborados en metal,33,3,0
3312,Mantenimiento y reparacion especializado de maquinaria y equipo,33,3,0
3313,Mantenimiento y reparacion especializado de equipo electronico y optico,33,3,0
3314,Mantenimiento y reparacion especializado de equipo electrico,33,3,0
3315,"Mantenimiento y reparacion especializado de equipo de transporte, excepto los vehiculos automotores, motocicletas y bicicletas",33,3,0
3319,Mantenimiento y reparacion de otros tipos de equipos y sus componentes n.c.p.,33,3,0
3320,Instalacion especializada de maquinaria y equipo industrial ,33,3,0
3511,Generacion de energia electrica,35,4,0
3512,Transmision de energia electrica,35,4,0
3513,Distribucion de energia electrica,35,4,0
3514,Comercializacion de energia electrica,35,4,0
3520,Produccion de gas; distribucion de combustibles gaseosos por tuberias,35,4,0
3530,Suministro de vapor y aire acondicionado,35,4,0
3600,"Captacion, tratamiento y distribucion de agua",36,5,0
3700,Evacuacion y tratamiento de aguas residuales,37,5,0
3811,Recoleccion de desechos no peligrosos,38,5,0
3812,Recoleccion de desechos peligrosos,38,5,0
3821,Tratamiento y disposicion de desechos no peligrosos,38,5,0
3822,Tratamiento y disposicion de desechos peligrosos,38,5,0
3830,Recuperacion de materiales,38,5,0
3900,Actividades de saneamiento ambiental y otros servicios de gestion de desechos,39,5,0
4111,Construccion de edificios residenciales,41,6,0
4112,Construccion de edificios no residenciales,41,6,0
4210,Construccion de carreteras y vias de ferrocarril,42,6,0
4220,Construccion de proyectos de servicio publico,42,6,0
4290,Construccion de otras obras de ingenieria civil,42,6,0
4311,Demolicion,43,6,0
4312,Preparacion del terreno,43,6,0
4321,Instalaciones electricas,43,6,0
4322,"Instalaciones de fontaneria, calefaccion y aire acondicionado",43,6,0
4329,Otras instalaciones especializadas,43,6,0
4330,Terminacion y acabado de edificios y obras de ingenieria civil,43,6,0
4390,Otras actividades especializadas para la construccion de edificios y obras de ingenieria civil,43,6,0
4511,Comercio de vehiculos automotores nuevos,45,7,0
4512,Comercio de vehiculos automotores usados,45,7,0
4520,Mantenimiento y reparacion de vehiculos automotores,45,7,0
4530,"Comercio de partes, piezas (autopartes) y accesorios (lujos) para vehiculos automotores",45,7,0
4541,"Comercio de motocicletas y de sus partes, piezas y accesorios",45,7,0
4542,Mantenimiento y reparacion de motocicletas y de sus partes y piezas,45,7,0
4610,Comercio al por mayor a cambio de una retribucion o por contrata,46,7,0
4620,Comercio al por mayor de materias primas agropecuarias; animales vivos,46,7,0
4631,Comercio al por mayor de productos alimenticios,46,7,0
4632,Comercio al por mayor de bebidas y tabaco,46,7,0
4641,"Comercio al por mayor de productos textiles, productos confeccionados para uso domestico",46,7,0
4642,Comercio al por mayor de prendas de vestir,46,7,0
4643,Comercio al por mayor de calzado,46,7,0
4644,Comercio al por mayor de aparatos y equipo de uso domestico,46,7,0
4645,"Comercio al por mayor de productos farmaceuticos, medicinales, cosmeticos y de tocador",46,7,0
4649,Comercio al por mayor de otros utensilios domesticos n.c.p.,46,7,0
4651,"Comercio al por mayor de computadores, equipo periferico y programas de informatica",46,7,0
4652,"Comercio al por mayor de equipo, partes y piezas electronicos y de telecomunicaciones",46,7,0
4653,Comercio al por mayor de maquinaria y equipo agropecuarios,46,7,0
4659,Comercio al por mayor de otros tipos de maquinaria y equipo n.c.p.,46,7,0
4661,"Comercio al por mayor de combustibles solidos, liquidos, gaseosos y productos conexos",46,7,0
4662,Comercio al por mayor de metales y productos metaliferos,46,7,0
4663,"Comercio al por mayor de materiales de construccion, articulos de ferreteria, pinturas, productos de vidrio, equipo y materiales de fontaneria y calefaccion",46,7,0
4664,"Comercio al por mayor de productos quimicos basicos, cauchos y plasticos en formas primarias y productos quimicos de uso agropecuario",46,7,0
4665,"Comercio al por mayor de desperdicios, desechos y chatarra",46,7,0
4669,Comercio al por mayor de otros productos n.c.p.,46,7,0
4690,Comercio al por mayor no especializado,46,7,0
4711,"Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos, bebidas o tabaco",47,7,0
4719,"Comercio al por menor en establecimientos no especializados, con surtido compuesto principalmente por productos diferentes de alimentos (viveres en general), bebidas y tabaco",47,7,0
4721,Comercio al por menor de productos agricolas para el consumo en establecimientos especializados,47,7,0
4722,"Comercio al por menor de leche, productos lacteos y huevos, en establecimientos especializados",47,7,0
4723,"Comercio al por menor de carnes (incluye aves de corral), productos carnicos, pescados y productos de mar, en establecimientos especializados",47,7,0
4724,"Comercio al por menor de bebidas y productos del tabaco, en establecimientos especializados",47,7,0
4729,"Comercio al por menor de otros productos alimenticios n.c.p., en establecimientos especializados",47,7,0
4731,Comercio al por menor de combustible para automotores,47,7,0
4732,"Comercio al por menor de lubricantes (aceites, grasas), aditivos y productos de limpieza para vehiculos automotores",47,7,0
4741,"Comercio al por menor de computadores, equipos perifericos, programas de informatica y equipos de telecomunicaciones en establecimientos especializados",47,7,0
4742,"Comercio al por menor de equipos y aparatos de sonido y de video, en establecimientos especializados",47,7,0
4751,Comercio al por menor de productos textiles en establecimientos especializados,47,7,0
4752,"Comercio al por menor de articulos de ferreteria, pinturas y productos de vidrio en establecimientos especializados",47,7,0
4753,"Comercio al por menor de tapices, alfombras y cubrimientos para paredes y pisos en establecimientos especializados",47,7,0
4754,"Comercio al por menor de electrodomesticos y gasodomesticos de uso domestico, muebles y equipos de iluminacion",47,7,0
4755,Comercio al por menor de articulos y utensilios de uso domestico,47,7,0
4759,Comercio al por menor de otros articulos domesticos en establecimientos especializados,47,7,0
4761,"Comercio al por menor de libros, periodicos, materiales y articulos de papeleria y escritorio, en establecimientos especializados",47,7,0
4762,"Comercio al por menor de articulos deportivos, en establecimientos especializados ",47,7,0
4769,Comercio al por menor de otros articulos culturales y de entretenimiento n.c.p. en establecimientos especializados,47,7,0
4771,Comercio al por menor de prendas de vestir y sus accesorios (incluye articulos de piel) en establecimientos especializados,47,7,0
4772,Comercio al por menor de todo tipo de calzado y articulos de cuero y sucedaneos del cuero en establecimientos especializados.,47,7,0
4773,"Comercio al por menor de productos farmaceuticos y medicinales, cosmeticos y articulos de tocador en establecimientos especializados",47,7,0
4774,Comercio al por menor de otros productos nuevos en establecimientos especializados,47,7,0
4775,Comercio al por menor de articulos de segunda mano,47,7,0
4781,"Comercio al por menor de alimentos, bebidas y tabaco, en puestos de venta moviles",47,7,0
4782,"Comercio al por menor de productos textiles, prendas de vestir y calzado, en puestos de venta moviles",47,7,0
4789,Comercio al por menor de otros productos en puestos de venta moviles,47,7,0
4791,Comercio al por menor realizado a traves de internet,47,7,0
4792,Comercio al por menor realizado a traves de casas de venta o por correo,47,7,0
4799,"Otros tipos de comercio al por menor no realizado en establecimientos, puestos de venta o mercados.",47,7,0
4911,Transporte ferreo de pasajeros,49,8,0
4912,Transporte ferreo de carga ,49,8,0
4921,Transporte de pasajeros,49,8,0
4922,Transporte mixto,49,8,0
4923,Transporte de carga por carretera,49,8,0
4930,Transporte por tuberias,49,8,0
5011,Transporte de pasajeros maritimo y de cabotaje ,50,8,0
5012,Transporte de carga maritimo y de cabotaje ,50,8,0
5021,Transporte fluvial de pasajeros,50,8,0
5022,Transporte fluvial de carga,50,8,0
5111,Transporte aereo nacional de pasajeros ,51,8,0
5112,Transporte aereo internacional de pasajeros ,51,8,0
5121,Transporte aereo nacional de carga ,51,8,0
5122,Transporte aereo internacional de carga ,51,8,0
5210,Almacenamiento y deposito,52,8,0
5221,"Actividades de estaciones, vias y servicios complementarios para el transporte terrestre",52,8,0
5222,Actividades de puertos y servicios complementarios para el transporte acuatico,52,8,0
5223,"Actividades de aeropuertos, servicios de navegacion aerea y demas actividades conexas al transporte aereo",52,8,0
5224,Manipulacion de carga,52,8,0
5229,Otras actividades complementarias al transporte,52,8,0
5310,Actividades postales nacionales,53,8,0
5320,Actividades de mensajeria,53,8,0
5511,Alojamiento en hoteles ,55,9,0
5512,Alojamiento en apartahoteles,55,9,0
5513,Alojamiento en centros vacacionales ,55,9,0
5514,Alojamiento rural,55,9,0
5519,Otros tipos de alojamientos para visitantes,55,9,0
5520,Actividades de zonas de camping y parques para vehiculos recreacionales,55,9,0
5530,Servicio por horas ,55,9,0
5590,Otros tipos de alojamiento n.c.p.,55,9,0
5611,Expendio a la mesa de comidas preparadas,56,9,0
