,CIIU ID CI4,CLAE 3,Descripción CLAE 3,Ramas,Descripción,CNAE ID CNG,CNAE label CNG,CIIU label CI4,labour
359,,17.0,"Caza, Repoblación  De Animales De Caza Y Servicios De Apoyo",150.0,"Caza  y captura de animales vivos, repoblación  de animales de caza y servicios conexos",17.0,Caca e servicos relacionados,,
24,210.0,21.0,Silvicultura,201.0,Silvicultura,21.0,Producao florestal - florestas plantadas,Silvicultura y otras actividades forestales,0.29
360,,21.0,Silvicultura,201.0,Silvicultura,21.0,Producao florestal - florestas plantadas,,
608,220.0,22.0,Extracción De Productos Forestales,202.0,Extracción de productos forestales,22.0,Producao florestal - florestas nativas,Extraccion de madera ,
361,,22.0,Extracción De Productos Forestales,202.0,Extracción de productos forestales,22.0,Producao florestal - florestas nativas,,
25,230.0,24.0,Servicios De Apoyo A La Silvicultura,203.0,Servicios forestales,23.0,Atividades de apoio a producao florestal,Recoleccion de productos forestales diferentes a la madera,0.02
26,240.0,24.0,Servicios De Apoyo A La Silvicultura,203.0,Servicios forestales,23.0,Atividades de apoio a producao florestal,Servicios de apoyo a la silvicultura ,0.62
362,,24.0,Servicios De Apoyo A La Silvicultura,203.0,Servicios forestales,23.0,Atividades de apoio a producao florestal,,
27,311.0,31.0,Pesca Y Servicios De Apoyo,501.0,Pesca y recolección de productos marinos,31.0,Pesca,Pesca maritima ,0.21
28,312.0,31.0,Pesca Y Servicios De Apoyo,501.0,Pesca y recolección de productos marinos,31.0,Pesca,Pesca de agua dulce ,0.02
363,,31.0,Pesca Y Servicios De Apoyo,501.0,Pesca y recolección de productos marinos,31.0,Pesca,,
30,322.0,32.0,"Explotación De Criaderos De Peces, Granjas Piscícolas Y Otros Frutos Acuáticos (Acuicultura)",502.0,"Explotación de criaderos de peces, granjas piscícolas y otros frutos acuáticos (acuicultura)",32.0,Aquicultura,Acuicultura de agua dulce,0.05
364,,32.0,"Explotación De Criaderos De Peces, Granjas Piscícolas Y Otros Frutos Acuáticos (Acuicultura)",503.0,Servicios para la pesca,32.0,Aquicultura,,
29,321.0,32.0,"Explotación De Criaderos De Peces, Granjas Piscícolas Y Otros Frutos Acuáticos (Acuicultura)",,,,,Acuicultura maritima ,0.61
31,510.0,51.0,Extracción Y Aglomeración De Carbón,1429.0,Explotación de minas y canteras n.c.p.,50.0,Extracao de carvao mineral,Extraccion de hulla (carbon de piedra),0.01
