,CIIU ID CI4,CLAE 3,Descripción CLAE 3,Ramas,Descripción,CNAE ID CNG,CNAE label CNG,CIIU label CI4,labour
631,1521.0,152.0,Fabricación De Calzado Y De Sus Partes,,,,,"Fabricacion de calzado de cuero y piel, con cualquier tipo de suela",
74,1610.0,161.0,Aserrado Y Cepillado De Madera,2010.0,Aserrado y cepillado de madera,161.0,Desdobramento de madeira,"Aserrado, acepillado e impregnacion de la madera",0.18
397,,161.0,Aserrado Y Cepillado De Madera,2010.0,Aserrado y cepillado de madera,161.0,Desdobramento de madeira,,
636,1620.0,162.0,"Fabricación De Productos De Madera, Corcho, Paja Y Materiales Trenzables",2021.0,"Fabricación de hojas de madera para enchapado; fabricación de tableros contrachapados, tableros laminados, tableros de partículas, y  tableros y paneles n.c.p.",162.0,"Fabricacao de produtos de madeira, cortica e material trancado, exceto moveis","Fabricacion de hojas de madera para enchapado; fabricacion de tableros contrachapados, tableros laminados, tableros de particulas y otros tableros y paneles",
398,,162.0,"Fabricación De Productos De Madera, Corcho, Paja Y Materiales Trenzables",2021.0,"Fabricación de hojas de madera para enchapado; fabricación de tableros contrachapados, tableros laminados, tableros de partículas, y  tableros y paneles n.c.p.",162.0,"Fabricacao de produtos de madeira, cortica e material trancado, exceto moveis",,
637,1630.0,162.0,"Fabricación De Productos De Madera, Corcho, Paja Y Materiales Trenzables",2022.0,Fabricación de partes y piezas de carpintería para edificios y construcciones,162.0,"Fabricacao de produtos de madeira, cortica e material trancado, exceto moveis","Fabricacion de partes y piezas de madera, de carpinteria y ebanisteria para la construccion",
399,,162.0,"Fabricación De Productos De Madera, Corcho, Paja Y Materiales Trenzables",2022.0,Fabricación de partes y piezas de carpintería para edificios y construcciones,162.0,"Fabricacao de produtos de madeira, cortica e material trancado, exceto moveis",,
638,1640.0,162.0,"Fabricación De Productos De Madera, Corcho, Paja Y Materiales Trenzables",2023.0,Fabricación de recipientes de madera,162.0,"Fabricacao de produtos de madeira, cortica e material trancado, exceto moveis",Fabricacion de recipientes de madera,
400,,162.0,"Fabricación De Productos De Madera, Corcho, Paja Y Materiales Trenzables",2023.0,Fabricación de recipientes de madera,162.0,"Fabricacao de produtos de madeira, cortica e material trancado, exceto moveis",,
639,1690.0,162.0,"Fabricación De Productos De Madera, Corcho, Paja Y Materiales Trenzables",2029.0,"Fabricación de productos de madera n.c.p.; fabricación de artículos de corcho, paja y materiales trenzables",162.0,"Fabricacao de produtos de madeira, cortica e material trancado, exceto moveis","Fabricacion de otros productos de madera; fabricacion de articulos de corcho, cesteria y esparteria",
401,,162.0,"Fabricación De Productos De Madera, Corcho, Paja Y Materiales Trenzables",2029.0,"Fabricación de productos de madera n.c.p.; fabricación de artículos de corcho, paja y materiales trenzables",162.0,"Fabricacao de produtos de madeira, cortica e material trancado, exceto moveis",,
78,1701.0,170.0,Fabricación De Papel Y De Productos De Papel,2101.0,"Fabricación de pasta de madera, papel y cartón",171.0,Fabricacao de celulose e outras pastas para a fabricacao de papel,Fabricacion de pulpas (pastas) celulosicas; papel y carton,0.06
402,,170.0,Fabricación De Papel Y De Productos De Papel,2101.0,"Fabricación de pasta de madera, papel y cartón",171.0,Fabricacao de celulose e outras pastas para a fabricacao de papel,,
79,1702.0,170.0,Fabricación De Papel Y De Productos De Papel,2102.0,Fabricación de papel y cartón ondulado y envases de papel y cartón,172.0,"Fabricacao de papel, cartolina e papel-cartao","Fabricacion de papel y carton ondulado (corrugado); fabricacion de envases, empaques y de embalajes de papel y carton.",0.09
403,,170.0,Fabricación De Papel Y De Productos De Papel,2102.0,Fabricación de papel y cartón ondulado y envases de papel y cartón,172.0,"Fabricacao de papel, cartolina e papel-cartao",,
80,1709.0,170.0,Fabricación De Papel Y De Productos De Papel,2109.0,Fabricación de  artículos de papel y cartón,173.0,"Fabricacao de embalagens de papel, cartolina, papel-cartao e papelao ondulado",Fabricacion de otros articulos de papel y carton,0.09
404,,170.0,Fabricación De Papel Y De Productos De Papel,2109.0,Fabricación de  artículos de papel y cartón,173.0,"Fabricacao de embalagens de papel, cartolina, papel-cartao e papelao ondulado",,
81,1811.0,181.0,Impresión Y Servicios Relacionados Con La Impresión,2221.0,Impresión,582.0,"Edicao integrada a impressao de livros, jornais, revistas e outras publicacoes",Actividades de impresion,0.26
543,,181.0,Impresión Y Servicios Relacionados Con La Impresión,2221.0,Impresión,582.0,"Edicao integrada a impressao de livros, jornais, revistas e outras publicacoes",,
82,1812.0,181.0,Impresión Y Servicios Relacionados Con La Impresión,2222.0,Servicios relacionados con la impresión,582.0,"Edicao integrada a impressao de livros, jornais, revistas e outras publicacoes",Actividades de servicios relacionados con la impresion,0.16
83,1820.0,181.0,Impresión Y Servicios Relacionados Con La Impresión,2222.0,Servicios relacionados con la impresión,582.0,"Edicao integrada a impressao de livros, jornais, revistas e outras publicacoes",Produccion de copias a partir de grabaciones originales ,0.0
542,,182.0,Reproducción De Grabaciones,2230.0,Reproducción de grabaciones,,,,
84,1910.0,191.0,Fabricación De Productos De Hornos De Coque,2310.0,Fabricación de productos de hornos de coque,191.0,Coquerias,Fabricacion de productos de hornos de coque,0.02
405,,191.0,Fabricación De Productos De Hornos De Coque,2310.0,Fabricación de productos de hornos de coque,191.0,Coquerias,,
640,1921.0,192.0,Fabricación De Productos De La Refinación Del Petróleo,2320.0,Fabricación de productos de la refinación del petróleo,192.0,Fabricacao de produtos derivados do petroleo,Fabricacion de productos de la refinacion del petroleo,
641,1922.0,192.0,Fabricación De Productos De La Refinación Del Petróleo,2320.0,Fabricación de productos de la refinación del petróleo,192.0,Fabricacao de produtos derivados do petroleo,Actividad de mezcla de combustibles,
406,,192.0,Fabricación De Productos De La Refinación Del Petróleo,2320.0,Fabricación de productos de la refinación del petróleo,192.0,Fabricacao de produtos derivados do petroleo,,
407,,192.0,Fabricación De Productos De La Refinación Del Petróleo,2330.0,Elaboración de combustible nuclear,,,,
87,2012.0,201.0,Fabricación De Sustancias Químicas Básicas,2412.0,Fabricación de abonos y compuestos de nitrógeno,202.0,Fabricacao de produtos quimicos organicos,Fabricacion de abonos y compuestos inorganicos nitrogenados,0.02
409,,201.0,Fabricación De Sustancias Químicas Básicas,2412.0,Fabricación de abonos y compuestos de nitrógeno,202.0,Fabricacao de produtos quimicos organicos,,
86,2011.0,201.0,Fabricación De Sustancias Químicas Básicas,2411.0,"Fabricación de sustancias químicas básicas, excepto abonos y compuestos de nitrógeno",,,Fabricacion de sustancias y productos quimicos basicos,0.07
408,,201.0,Fabricación De Sustancias Químicas Básicas,2411.0,"Fabricación de sustancias químicas básicas, excepto abonos y compuestos de nitrógeno",,,,
88,2013.0,201.0,Fabricación De Sustancias Químicas Básicas,2413.0,Fabricación de plásticos en formas primarias y de caucho sintético,,,Fabricacion de plasticos en formas primarias,0.07
642,2014.0,201.0,Fabricación De Sustancias Químicas Básicas,2413.0,Fabricación de plásticos en formas primarias y de caucho sintético,,,Fabricacion de caucho sintetico en formas primarias,
89,2021.0,202.0,Fabricación De Productos Químicos Ncp,2421.0,Fabricación de plaguicidas y  productos químicos de uso agropecuario ,205.0,Fabricacao de defensivos agricolas e desinfestantes domissanitarios,Fabricacion de plaguicidas y otros productos quimicos de uso agropecuario,0.01
410,,202.0,Fabricación De Productos Químicos Ncp,2421.0,Fabricación de plaguicidas y  productos químicos de uso agropecuario ,205.0,Fabricacao de defensivos agricolas e desinfestantes domissanitarios,,
90,2022.0,202.0,Fabricación De Productos Químicos Ncp,2422.0,Fabricación de pinturas; barnices y productos de revestimiento similares; tintas de imprenta y masillas,207.0,"Fabricacao de tintas, vernizes, esmaltes, lacas e produtos afins","Fabricacion de pinturas, barnices y revestimientos similares, tintas para impresion y masillas",0.04
411,,202.0,Fabricación De Productos Químicos Ncp,2422.0,Fabricación de pinturas; barnices y productos de revestimiento similares; tintas de imprenta y masillas,207.0,"Fabricacao de tintas, vernizes, esmaltes, lacas e produtos afins",,
93,2030.0,203.0,Fabricación De Fibras Manufacturadas,2430.0,Fabricación de fibras manufacturadas,204.0,Fabricacao de fibras artificiais e sinteticas,Fabricacion de fibras sinteticas y artificiales,0.0
91,2023.0,210.0,"Fabricación De Productos Farmaceúticos, Sustancias Químicas Medicinales Y Productos Botánicos De Uso Farmaceútico",2424.0,"Fabricación de jabones y detergentes, preparados para limpiar y pulir, perfumes y preparados de tocador",206.0,"Fabricacao de saboes, detergentes, produtos de limpeza, cosmeticos, produtos de perfumaria e de higiene pessoal","Fabricacion de jabones y detergentes, preparados para limpiar y pulir; perfumes y preparados de tocador",0.11
413,,210.0,"Fabricación De Productos Farmaceúticos, Sustancias Químicas Medicinales Y Productos Botánicos De Uso Farmaceútico",2424.0,"Fabricación de jabones y detergentes, preparados para limpiar y pulir, perfumes y preparados de tocador",206.0,"Fabricacao de saboes, detergentes, produtos de limpeza, cosmeticos, produtos de perfumaria e de higiene pessoal",,
92,2029.0,210.0,"Fabricación De Productos Farmaceúticos, Sustancias Químicas Medicinales Y Productos Botánicos De Uso Farmaceútico",2429.0,Fabricación de productos químicos n.c.p.,209.0,Fabricacao de produtos e preparados quimicos diversos,Fabricacion de otros productos quimicos n.c.p.,0.16
414,,210.0,"Fabricación De Productos Farmaceúticos, Sustancias Químicas Medicinales Y Productos Botánicos De Uso Farmaceútico",2429.0,Fabricación de productos químicos n.c.p.,209.0,Fabricacao de produtos e preparados quimicos diversos,,
94,2100.0,210.0,"Fabricación De Productos Farmaceúticos, Sustancias Químicas Medicinales Y Productos Botánicos De Uso Farmaceútico",2423.0,"Fabricación de productos farmacéuticos, sustancias químicas medicinales y productos botánicos",,,"Fabricacion de productos farmaceuticos, sustancias quimicas medicinales y productos botanicos de uso farmaceutico",0.18
412,,210.0,"Fabricación De Productos Farmaceúticos, Sustancias Químicas Medicinales Y Productos Botánicos De Uso Farmaceútico",2423.0,"Fabricación de productos farmacéuticos, sustancias químicas medicinales y productos botánicos",,,,
95,2211.0,221.0,Fabricación De Productos De Caucho,2511.0,Fabricación de cubiertas y cámaras de caucho; recauchutado y renovación de cubiertas de caucho,221.0,Fabricacao de produtos de borracha,Fabricacion de llantas y neumaticos de caucho,0.04
643,2212.0,221.0,Fabricación De Productos De Caucho,2511.0,Fabricación de cubiertas y cámaras de caucho; recauchutado y renovación de cubiertas de caucho,221.0,Fabricacao de produtos de borracha,Reencauche de llantas usadas,
96,2219.0,221.0,Fabricación De Productos De Caucho,2519.0,Fabricación de productos de caucho n.c.p.,221.0,Fabricacao de produtos de borracha,Fabricacion de formas basicas de caucho y otros productos de caucho n.c.p.,0.07
415,,221.0,Fabricación De Productos De Caucho,2519.0,Fabricación de productos de caucho n.c.p.,221.0,Fabricacao de produtos de borracha,,
644,2221.0,222.0,Fabricación De Productos De Plástico,2520.0,Fabricación de productos de plástico,222.0,Fabricacao de produtos de material plastico,Fabricacion de formas basicas de plastico,
645,2229.0,222.0,Fabricación De Productos De Plástico,2520.0,Fabricación de productos de plástico,222.0,Fabricacao de produtos de material plastico,Fabricacion de articulos de plastico n.c.p.,
416,,222.0,Fabricación De Productos De Plástico,2520.0,Fabricación de productos de plástico,222.0,Fabricacao de produtos de material plastico,,
98,2310.0,231.0,Fabricación De Vidrio Y Productos De Vidrio,2610.0,Fabricación de vidrio y productos de vidrio,231.0,Fabricacao de vidro e de produtos do vidro,Fabricacion de vidrio y productos de vidrio,0.06
417,,231.0,Fabricación De Vidrio Y Productos De Vidrio,2610.0,Fabricación de vidrio y productos de vidrio,231.0,Fabricacao de vidro e de produtos do vidro,,
102,2394.0,239.0,Fabricación De Productos Minerales No Metálicos Ncp,2694.0,"Elaboración de cemento, cal y yeso",232.0,Fabricacao de cimento,"Fabricacion de cemento, cal y yeso",0.05
421,,239.0,Fabricación De Productos Minerales No Metálicos Ncp,2694.0,"Elaboración de cemento, cal y yeso",232.0,Fabricacao de cimento,,
103,2395.0,239.0,Fabricación De Productos Minerales No Metálicos Ncp,2695.0,"Fabricación de artículos de hormigón, cemento y yeso",233.0,"Fabricacao de artefatos de concreto, cimento, fibrocimento, gesso e materiais semelhantes","Fabricacion de articulos de hormigon, cemento y yeso",0.09
422,,239.0,Fabricación De Productos Minerales No Metálicos Ncp,2695.0,"Fabricación de artículos de hormigón, cemento y yeso",233.0,"Fabricacao de artefatos de concreto, cimento, fibrocimento, gesso e materiais semelhantes",,
101,2393.0,239.0,Fabricación De Productos Minerales No Metálicos Ncp,2691.0,Fabricación de productos de cerámica no refractaria para uso no estructural,234.0,Fabricacao de produtos ceramicos,Fabricacion de otros productos de ceramica y porcelana,0.01
418,,239.0,Fabricación De Productos Minerales No Metálicos Ncp,2691.0,Fabricación de productos de cerámica no refractaria para uso no estructural,234.0,Fabricacao de produtos ceramicos,,
99,2391.0,239.0,Fabricación De Productos Minerales No Metálicos Ncp,2692.0,Fabricación de productos de cerámica refractaria,234.0,Fabricacao de produtos ceramicos,Fabricacion de productos refractarios,0.0
419,,239.0,Fabricación De Productos Minerales No Metálicos Ncp,2692.0,Fabricación de productos de cerámica refractaria,234.0,Fabricacao de produtos ceramicos,,
100,2392.0,239.0,Fabricación De Productos Minerales No Metálicos Ncp,2693.0,Fabricación de productos de arcilla y cerámica no refractaria para uso estructural,234.0,Fabricacao de produtos ceramicos,Fabricacion de materiales de arcilla para la construccion,0.02
420,,239.0,Fabricación De Productos Minerales No Metálicos Ncp,2693.0,Fabricación de productos de arcilla y cerámica no refractaria para uso estructural,234.0,Fabricacao de produtos ceramicos,,
104,2396.0,239.0,Fabricación De Productos Minerales No Metálicos Ncp,2696.0,"Corte, tallado y acabado de la piedra",239.0,Aparelhamento de pedras e fabricacao de outros produtos de minerais nao-metalicos,"Corte, tallado y acabado de la piedra",0.0
423,,239.0,Fabricación De Productos Minerales No Metálicos Ncp,2696.0,"Corte, tallado y acabado de la piedra",239.0,Aparelhamento de pedras e fabricacao de outros produtos de minerais nao-metalicos,,
105,2399.0,239.0,Fabricación De Productos Minerales No Metálicos Ncp,2699.0,Fabricación de productos minerales no metálicos n.c.p.,239.0,Aparelhamento de pedras e fabricacao de outros produtos de minerais nao-metalicos,Fabricacion de otros productos minerales no metalicos n.c.p.,0.09
424,,239.0,Fabricación De Productos Minerales No Metálicos Ncp,2699.0,Fabricación de productos minerales no metálicos n.c.p.,239.0,Aparelhamento de pedras e fabricacao de outros produtos de minerais nao-metalicos,,
106,2410.0,241.0,Industrias Básicas De Hierro Y Acero,2710.0,Industrias básicas de hierro y acero,242.0,Siderurgia,Industrias basicas de hierro y de acero,0.11
425,,241.0,Industrias Básicas De Hierro Y Acero,2710.0,Industrias básicas de hierro y acero,242.0,Siderurgia,,
107,2410.0,241.0,Industrias Básicas De Hierro Y Acero,2710.0,Industrias básicas de hierro y acero,243.0,"Producao de tubos de aco, exceto tubos sem costura",Industrias basicas de hierro y de acero,0.11
426,,241.0,Industrias Básicas De Hierro Y Acero,2710.0,Industrias básicas de hierro y acero,243.0,"Producao de tubos de aco, exceto tubos sem costura",,
647,2421.0,242.0,Fabricación De Productos Primarios De Metales Preciosos Y Metales No Ferrosos,2720.0,Fabricación de productos primarios de metales preciosos y metales no ferrosos,244.0,Metalurgia dos metais nao-ferrosos,Industrias basicas de metales preciosos,
427,,242.0,Fabricación De Productos Primarios De Metales Preciosos Y Metales No Ferrosos,2720.0,Fabricación de productos primarios de metales preciosos y metales no ferrosos,244.0,Metalurgia dos metais nao-ferrosos,,
646,2429.0,242.0,Fabricación De Productos Primarios De Metales Preciosos Y Metales No Ferrosos,,,,,Industrias basicas de otros metales no ferrosos,
109,2431.0,243.0,Fundición De Metales,2731.0,Fundición de hierro y acero,245.0,Fundicao,Fundicion de hierro y de acero,0.01
428,,243.0,Fundición De Metales,2731.0,Fundición de hierro y acero,245.0,Fundicao,,
110,2432.0,243.0,Fundición De Metales,2732.0,Fundición de metales no ferrosos,245.0,Fundicao,Fundicion de metales no ferrosos ,0.0
429,,243.0,Fundición De Metales,2732.0,Fundición de metales no ferrosos,245.0,Fundicao,,
111,2511.0,251.0,"Fabricación De Productos Metálicos Para Uso Estructural, Tanques, Depósitos Y Generadores De Vapor",2811.0,Fabricación de productos metálicos para uso estructural y montaje estructural,251.0,Fabricacao de estruturas metalicas e obras de caldeiraria pesada,Fabricacion de productos metalicos para uso estructural,0.82
430,,251.0,"Fabricación De Productos Metálicos Para Uso Estructural, Tanques, Depósitos Y Generadores De Vapor",2811.0,Fabricación de productos metálicos para uso estructural y montaje estructural,251.0,Fabricacao de estruturas metalicas e obras de caldeiraria pesada,,
112,2512.0,251.0,"Fabricación De Productos Metálicos Para Uso Estructural, Tanques, Depósitos Y Generadores De Vapor",2812.0,"Fabricación de tanques, depósitos y recipientes de metal",252.0,"Fabricacao de tanques, reservatorios metalicos e caldeiras","Fabricacion de tanques, depositos y recipientes de metal, excepto los utilizados para el envase o transporte de mercancias",0.01
431,,251.0,"Fabricación De Productos Metálicos Para Uso Estructural, Tanques, Depósitos Y Generadores De Vapor",2812.0,"Fabricación de tanques, depósitos y recipientes de metal",252.0,"Fabricacao de tanques, reservatorios metalicos e caldeiras",,
113,2513.0,251.0,"Fabricación De Productos Metálicos Para Uso Estructural, Tanques, Depósitos Y Generadores De Vapor",2813.0,Fabricación de generadores de vapor,252.0,"Fabricacao de tanques, reservatorios metalicos e caldeiras","Fabricacion de generadores de vapor, excepto calderas de agua caliente para calefaccion central",0.0
432,,251.0,"Fabricación De Productos Metálicos Para Uso Estructural, Tanques, Depósitos Y Generadores De Vapor",2813.0,Fabricación de generadores de vapor,252.0,"Fabricacao de tanques, reservatorios metalicos e caldeiras",,
650,2520.0,252.0,Fabricación De Armas Y Municiones,2927.0,Fabricación de armas y municiones,255.0,"Fabricacao de equipamento belico pesado, armas de fogo e municoes",Fabricacion de armas y municiones,
144,2829.0,252.0,Fabricación De Armas Y Municiones,2929.0,Fabricación de maquinaria de uso especial n.c.p.,,,Fabricacion de otros tipos de maquinaria y equipo de uso especial n.c.p.,0.05
444,,252.0,Fabricación De Armas Y Municiones,2929.0,Fabricación de maquinaria de uso especial n.c.p.,,,,
114,2591.0,259.0,Fabricación De Productos Elaborados De Metal Ncp; Servicios De Trabajo De Metales,2891.0,"Forjado, prensado, estampado y laminado de metales; pulvimetalurgia",253.0,"Forjaria, estamparia, metalurgia do po e servicos de tratamento de metais","Forja, prensado, estampado y laminado de metal; pulvimetalurgia",0.05
433,,259.0,Fabricación De Productos Elaborados De Metal Ncp; Servicios De Trabajo De Metales,2891.0,"Forjado, prensado, estampado y laminado de metales; pulvimetalurgia",253.0,"Forjaria, estamparia, metalurgia do po e servicos de tratamento de metais",,
115,2592.0,259.0,Fabricación De Productos Elaborados De Metal Ncp; Servicios De Trabajo De Metales,2892.0,Tratamiento y revestimiento de metales; obras de ingeniería mecánica en general realizadas a cambio de una retribución o por contrata,253.0,"Forjaria, estamparia, metalurgia do po e servicos de tratamento de metais",Tratamiento y revestimiento de metales; mecanizado,0.09
434,,259.0,Fabricación De Productos Elaborados De Metal Ncp; Servicios De Trabajo De Metales,2892.0,Tratamiento y revestimiento de metales; obras de ingeniería mecánica en general realizadas a cambio de una retribución o por contrata,253.0,"Forjaria, estamparia, metalurgia do po e servicos de tratamento de metais",,
116,2593.0,259.0,Fabricación De Productos Elaborados De Metal Ncp; Servicios De Trabajo De Metales,2893.0,"Fabricación de artículos de cuchillería, herramientas de mano y artículos de ferretería",254.0,"Fabricacao de artigos de cutelaria, de serralheria e ferramentas","Fabricacion de articulos de cuchilleria, herramientas de mano y articulos de ferreteria",0.01
435,,259.0,Fabricación De Productos Elaborados De Metal Ncp; Servicios De Trabajo De Metales,2893.0,"Fabricación de artículos de cuchillería, herramientas de mano y artículos de ferretería",254.0,"Fabricacao de artigos de cutelaria, de serralheria e ferramentas",,
117,2599.0,259.0,Fabricación De Productos Elaborados De Metal Ncp; Servicios De Trabajo De Metales,2899.0,Fabricación de productos elaborados de metal  n.c.p.,259.0,Fabricacao de produtos de metal nao especificados anteriormente,Fabricacion de otros productos elaborados de metal n.c.p.,0.5
436,,259.0,Fabricación De Productos Elaborados De Metal Ncp; Servicios De Trabajo De Metales,2899.0,Fabricación de productos elaborados de metal  n.c.p.,259.0,Fabricacao de produtos de metal nao especificados anteriormente,,
132,2811.0,259.0,Fabricación De Productos Elaborados De Metal Ncp; Servicios De Trabajo De Metales,2911.0,"Fabricación de motores y turbinas, excepto motores para aeronaves, vehículos automotores y motocicletas",,,"Fabricacion de motores, turbinas, y partes para motores de combustion interna",0.02
437,,259.0,Fabricación De Productos Elaborados De Metal Ncp; Servicios De Trabajo De Metales,2911.0,"Fabricación de motores y turbinas, excepto motores para aeronaves, vehículos automotores y motocicletas",,,,
649,2812.0,259.0,Fabricación De Productos Elaborados De Metal Ncp; Servicios De Trabajo De Metales,2912.0,Fabricación de bombas; compresores; grifos y válvulas,,,Fabricacion de equipos de potencia hidraulica y neumatica,
648,2813.0,259.0,Fabricación De Productos Elaborados De Metal Ncp; Servicios De Trabajo De Metales,2912.0,Fabricación de bombas; compresores; grifos y válvulas,,,"Fabricacion de otras bombas, compresores, grifos y valvulas",
438,,259.0,Fabricación De Productos Elaborados De Metal Ncp; Servicios De Trabajo De Metales,2912.0,Fabricación de bombas; compresores; grifos y válvulas,,,,
133,2814.0,259.0,Fabricación De Productos Elaborados De Metal Ncp; Servicios De Trabajo De Metales,2913.0,Fabricación de cojinetes; engranajes; trenes de engranaje y piezas de transmisión,,,"Fabricacion de cojinetes, engranajes, trenes de engranajes y piezas de transmision",0.0
439,,259.0,Fabricación De Productos Elaborados De Metal Ncp; Servicios De Trabajo De Metales,2913.0,Fabricación de cojinetes; engranajes; trenes de engranaje y piezas de transmisión,,,,
134,2815.0,259.0,Fabricación De Productos Elaborados De Metal Ncp; Servicios De Trabajo De Metales,2914.0,Fabricación de hornos; hogares y quemadores,,,"Fabricacion de hornos, hogares y quemadores industriales",0.0
440,,259.0,Fabricación De Productos Elaborados De Metal Ncp; Servicios De Trabajo De Metales,2914.0,Fabricación de hornos; hogares y quemadores,,,,
135,2816.0,259.0,Fabricación De Productos Elaborados De Metal Ncp; Servicios De Trabajo De Metales,2915.0,Fabricación de equipo de elevación y manipulación,,,Fabricacion de equipo de elevacion y manipulacion,0.0
441,,259.0,Fabricación De Productos Elaborados De Metal Ncp; Servicios De Trabajo De Metales,2915.0,Fabricación de equipo de elevación y manipulación,,,,
137,2819.0,259.0,Fabricación De Productos Elaborados De Metal Ncp; Servicios De Trabajo De Metales,2919.0,Fabricación de  maquinaria de uso general n.c.p.,,,Fabricacion de otros tipos de maquinaria y equipo de uso general n.c.p.,0.14
442,,259.0,Fabricación De Productos Elaborados De Metal Ncp; Servicios De Trabajo De Metales,2919.0,Fabricación de  maquinaria de uso general n.c.p.,,,,
138,2821.0,259.0,Fabricación De Productos Elaborados De Metal Ncp; Servicios De Trabajo De Metales,2921.0,Fabricación de maquinaria agropecuaria,,,Fabricacion de maquinaria agropecuaria y forestal,0.04
443,,259.0,Fabricación De Productos Elaborados De Metal Ncp; Servicios De Trabajo De Metales,2921.0,Fabricación de maquinaria agropecuaria,,,,
139,2822.0,259.0,Fabricación De Productos Elaborados De Metal Ncp; Servicios De Trabajo De Metales,2922.0,Fabricación de máquinas herramienta,,,Fabricacion de maquinas formadoras de metal y de maquinas herramienta,0.01
140,2823.0,259.0,Fabricación De Productos Elaborados De Metal Ncp; Servicios De Trabajo De Metales,2923.0,Fabricación de maquinaria metalúrgica,,,Fabricacion de maquinaria para la metalurgia,0.0
141,2824.0,259.0,Fabricación De Productos Elaborados De Metal Ncp; Servicios De Trabajo De Metales,2924.0,Fabricación de maquinaria para la explotación de minas y canteras y para obras de construcción,,,Fabricacion de maquinaria para explotacion de minas y canteras y para obras de construccion,0.13
142,2825.0,259.0,Fabricación De Productos Elaborados De Metal Ncp; Servicios De Trabajo De Metales,2925.0,"Fabricación de maquinaria para la elaboración de alimentos, bebidas y tabaco",,,"Fabricacion de maquinaria para la elaboracion de alimentos, bebidas y tabaco",0.01
143,2826.0,259.0,Fabricación De Productos Elaborados De Metal Ncp; Servicios De Trabajo De Metales,2926.0,"Fabricación de maquinaria para la elaboración de productos textiles, prendas de vestir y cueros",,,"Fabricacion de maquinaria para la elaboracion de productos textiles, prendas de vestir y cueros",0.0
447,,261.0,Fabricación De Componentes Electrónicos,3110.0,"Fabricación de motores, generadores y transformadores eléctricos",,,,
118,2610.0,261.0,Fabricación De Componentes Electrónicos,,,,,Fabricacion de componentes y tableros electronicos,0.05
136,2817.0,262.0,Fabricación De Equipos Y Productos Informáticos,3000.0,"Fabricación de maquinaria de oficina, contabilidad e informática",262.0,Fabricacao de equipamentos de informatica e perifericos,Fabricacion de maquinaria y equipo de oficina (excepto computadoras y equipo periferico),0.0
446,,262.0,Fabricación De Equipos Y Productos Informáticos,3000.0,"Fabricación de maquinaria de oficina, contabilidad e informática",262.0,Fabricacao de equipamentos de informatica e perifericos,,
651,2620.0,262.0,Fabricación De Equipos Y Productos Informáticos,,,,,Fabricacion de computadoras y de equipo periferico,
454,,263.0,Fabricación  De Equipos De Comunicaciones Y Transmisores De Radio Y Televisión,3220.0,Fabricación de transmisores de radio y televisión y de aparatos para telefonía y telegrafía con hilos,263.0,Fabricacao de equipamentos de comunicacao,,
119,2630.0,263.0,Fabricación  De Equipos De Comunicaciones Y Transmisores De Radio Y Televisión,,,,,Fabricacion de equipos de comunicacion,0.01
455,,264.0,"Fabricación De Receptores De Radio Y Televisión, Aparatos De Grabación Y Reproducción De Sonido Y Video, Y Productos Conexos",3230.0,"Fabricación de receptores de radio y televisión, aparatos de grabación y reproducción de sonido y video, y productos conexos",264.0,"Fabricacao de aparelhos de recepcao, reproducao, gravacao e amplificacao de audio e video",,
120,2640.0,264.0,"Fabricación De Receptores De Radio Y Televisión, Aparatos De Grabación Y Reproducción De Sonido Y Video, Y Productos Conexos",,,,,Fabricacion de aparatos electronicos de consumo,0.01
121,2651.0,266.0,Fabricación De Equipo Médico Y Quirúrgico Y De Aparatos Ortopédicos,3311.0,Fabricación de equipo médico y quirúrgico y de aparatos ortopédicos,266.0,Fabricacao de aparelhos eletromedicos e eletroterapeuticos e equipamentos de irradiacao,"Fabricacion de equipo de medicion, prueba, navegacion y control",0.03
456,,266.0,Fabricación De Equipo Médico Y Quirúrgico Y De Aparatos Ortopédicos,3311.0,Fabricación de equipo médico y quirúrgico y de aparatos ortopédicos,266.0,Fabricacao de aparelhos eletromedicos e eletroterapeuticos e equipamentos de irradiacao,,
123,2660.0,267.0,Fabricación De Instrumentos De Óptica Y Equipo Fotográfico,,,,,Fabricacion de equipo de irradiacion y equipo electronico de uso medico y terapeutico,0.02
124,2670.0,268.0,Fabricación De Soportes Ópticos Y Magnéticos,3320.0,Fabricación de instrumentos de óptica y equipo fotográfico,267.0,"Fabricacao de equipamentos e instrumentos opticos, fotograficos e cinematograficos",Fabricacion de instrumentos opticos y equipo fotografico,0.03
655,2680.0,268.0,Fabricación De Soportes Ópticos Y Magnéticos,3320.0,Fabricación de instrumentos de óptica y equipo fotográfico,267.0,"Fabricacao de equipamentos e instrumentos opticos, fotograficos e cinematograficos",Fabricacion de medios magneticos y opticos para almacenamiento de datos,
125,2670.0,268.0,Fabricación De Soportes Ópticos Y Magnéticos,3320.0,Fabricación de instrumentos de óptica y equipo fotográfico,268.0,"Fabricacao de midias virgens, magneticas e opticas",Fabricacion de instrumentos opticos y equipo fotografico,0.03
656,2680.0,268.0,Fabricación De Soportes Ópticos Y Magnéticos,3320.0,Fabricación de instrumentos de óptica y equipo fotográfico,268.0,"Fabricacao de midias virgens, magneticas e opticas",Fabricacion de medios magneticos y opticos para almacenamiento de datos,
