CNAE ID CNG,CNAE label CNG
11,Producao de lavouras temporarias
12,Horticultura e floricultura
13,Producao de lavouras permanentes
14,Producao de sementes e mudas certificadas
15,Pecuaria
16,Atividades de apoio a agricultura e a pecuaria; atividades de pos-colheita
17,Caca e servicos relacionados
21,Producao florestal - florestas plantadas
22,Producao florestal - florestas nativas
23,Atividades de apoio a producao florestal
31,Pesca
32,Aquicultura
50,Extracao de carvao mineral
60,Extracao de petroleo e gas natural
71,Extracao de minerio de ferro
72,Extracao de minerais metalicos nao-ferrosos
81,"Extracao de pedra, areia e argila"
89,Extracao de outros minerais nao-metalicos
91,Atividades de apoio a extracao de petroleo e gas natural
99,"Atividades de apoio a extracao de minerais, exceto petroleo e gas natural"
101,Abate e fabricacao de produtos de carne
102,Preservacao do pescado e fabricacao de produtos do pescado
103,"Fabricacao de conservas de frutas, legumes e outros vegetais"
104,Fabricacao de oleos e gorduras vegetais e animais
105,Laticinios
106,"Moagem, fabricacao de produtos amilaceos e de alimentos para animais"
107,Fabricacao e refino de acucar
108,Torrefacao e moagem de cafe
109,Fabricacao de outros produtos alimenticios
111,Fabricacao de bebidas alcoolicas
112,Fabricacao de bebidas nao-alcoolicas
121,Processamento industrial do fumo
122,Fabricacao de produtos do fumo
131,Preparacao e fiacao de fibras texteis
132,"Tecelagem, exceto malha"
133,Fabricacao de tecidos de malha
134,"Acabamentos em fios, tecidos e artefatos texteis"
135,"Fabricacao de artefatos texteis, exceto vestuario"
141,Confeccao de artigos do vestuario e acessorios
142,Fabricacao de artigos de malharia e tricotagem
151,Curtimento e outras preparacoes de couro
152,Fabricacao de artigos para viagem e de artefatos diversos de couro
153,Fabricacao de calcados
154,"Fabricacao de partes para calcados, de qualquer material"
161,Desdobramento de madeira
162,"Fabricacao de produtos de madeira, cortica e material trancado, exceto moveis"
171,Fabricacao de celulose e outras pastas para a fabricacao de papel
172,"Fabricacao de papel, cartolina e papel-cartao"
173,"Fabricacao de embalagens de papel, cartolina, papel-cartao e papelao ondulado"
174,"Fabricacao de produtos diversos de papel, cartolina, papel-cartao e papelao ondulado"
181,Atividade de impressao
182,Servicos de pre-impressao e acabamentos graficos
183,Reproducao de materiais gravados em qualquer suporte
191,Coquerias
192,Fabricacao de produtos derivados do petroleo
193,Fabricacao de biocombustiveis
201,Fabricacao de produtos quimicos inorganicos
202,Fabricacao de produtos quimicos organicos
203,Fabricacao de resinas e elastomeros
204,Fabricacao de fibras artificiais e sinteticas
205,Fabricacao de defensivos agricolas e desinfestantes domissanitarios
206,"Fabricacao de saboes, detergentes, produtos de limpeza, cosmeticos, produtos de perfumaria e de higiene pessoal"
207,"Fabricacao de tintas, vernizes, esmaltes, lacas e produtos afins"
209,Fabricacao de produtos e preparados quimicos diversos
211,Fabricacao de produtos farmoquimicos
212,Fabricacao de produtos farmaceuticos
221,Fabricacao de produtos de borracha
222,Fabricacao de produtos de material plastico
231,Fabricacao de vidro e de produtos do vidro
232,Fabricacao de cimento
233,"Fabricacao de artefatos de concreto, cimento, fibrocimento, gesso e materiais semelhantes"
234,Fabricacao de produtos ceramicos
239,Aparelhamento de pedras e fabricacao de outros produtos de minerais nao-metalicos
241,Producao de ferro-gusa e de ferroligas
242,Siderurgia
243,"Producao de tubos de aco, exceto tubos sem costura"
244,Metalurgia dos metais nao-ferrosos
245,Fundicao
251,Fabricacao de estruturas metalicas e obras de caldeiraria pesada
252,"Fabricacao de tanques, reservatorios metalicos e caldeiras"
253,"Forjaria, estamparia, metalurgia do po e servicos de tratamento de metais"
254,"Fabricacao de artigos de cutelaria, de serralheria e ferramentas"
255,"Fabricacao de equipamento belico pesado, armas de fogo e municoes"
259,Fabricacao de produtos de metal nao especificados anteriormente
