CNAE ID CNG,CNAE label CNG,annual_avg_emplvl
11,Producao de lavouras temporarias,0.85
12,Horticultura e floricultura,0.09
13,Producao de lavouras permanentes,0.55
14,Producao de sementes e mudas certificadas,0.03
15,Pecuaria,1.03
16,Atividades de apoio a agricultura e a pecuaria; atividades de pos-colheita,0.28
17,Caca e servicos relacionados,0.0
21,Producao florestal - florestas plantadas,0.14
22,Producao florestal - florestas nativas,0.02
23,Atividades de apoio a producao florestal,0.09
31,Pesca,0.02
32,Aquicultura,0.02
50,Extracao de carvao mineral,0.01
60,Extracao de petroleo e gas natural,0.07
71,Extracao de minerio de ferro,0.11
72,Extracao de minerais metalicos nao-ferrosos,0.07
81,"Extracao de pedra, areia e argila",0.15
89,Extracao de outros minerais nao-metalicos,0.05
91,Atividades de apoio a extracao de petroleo e gas natural,0.06
99,"Atividades de apoio a extracao de minerais, exceto petroleo e gas natural",0.01
101,Abate e fabricacao de produtos de carne,0.89
102,Preservacao do pescado e fabricacao de produtos do pescado,0.03
103,"Fabricacao de conservas de frutas, legumes e outros vegetais",0.1
104,Fabricacao de oleos e gorduras vegetais e animais,0.07
105,Laticinios,0.25
106,"Moagem, fabricacao de produtos amilaceos e de alimentos para animais",0.27
107,Fabricacao e refino de acucar,0.68
108,Torrefacao e moagem de cafe,0.04
109,Fabricacao de outros produtos alimenticios,0.75
111,Fabricacao de bebidas alcoolicas,0.12
112,Fabricacao de bebidas nao-alcoolicas,0.17
121,Processamento industrial do fumo,0.01
122,Fabricacao de produtos do fumo,0.02
131,Preparacao e fiacao de fibras texteis,0.11
132,"Tecelagem, exceto malha",0.12
133,Fabricacao de tecidos de malha,0.05
134,"Acabamentos em fios, tecidos e artefatos texteis",0.09
135,"Fabricacao de artefatos texteis, exceto vestuario",0.25
141,Confeccao de artigos do vestuario e acessorios,1.37
142,Fabricacao de artigos de malharia e tricotagem,0.07
151,Curtimento e outras preparacoes de couro,0.08
152,Fabricacao de artigos para viagem e de artefatos diversos de couro,0.06
153,Fabricacao de calcados,0.64
154,"Fabricacao de partes para calcados, de qualquer material",0.05
161,Desdobramento de madeira,0.17
162,"Fabricacao de produtos de madeira, cortica e material trancado, exceto moveis",0.24
171,Fabricacao de celulose e outras pastas para a fabricacao de papel,0.03
172,"Fabricacao de papel, cartolina e papel-cartao",0.08
173,"Fabricacao de embalagens de papel, cartolina, papel-cartao e papelao ondulado",0.14
174,"Fabricacao de produtos diversos de papel, cartolina, papel-cartao e papelao ondulado",0.12
181,Atividade de impressao,0.18
182,Servicos de pre-impressao e acabamentos graficos,0.07
183,Reproducao de materiais gravados em qualquer suporte,0.01
191,Coquerias,0.0
192,Fabricacao de produtos derivados do petroleo,0.08
193,Fabricacao de biocombustiveis,0.25
201,Fabricacao de produtos quimicos inorganicos,0.09
202,Fabricacao de produtos quimicos organicos,0.04
203,Fabricacao de resinas e elastomeros,0.02
204,Fabricacao de fibras artificiais e sinteticas,0.01
205,Fabricacao de defensivos agricolas e desinfestantes domissanitarios,0.02
206,"Fabricacao de saboes, detergentes, produtos de limpeza, cosmeticos, produtos de perfumaria e de higiene pessoal",0.18
207,"Fabricacao de tintas, vernizes, esmaltes, lacas e produtos afins",0.07
209,Fabricacao de produtos e preparados quimicos diversos,0.14
211,Fabricacao de produtos farmoquimicos,0.01
212,Fabricacao de produtos farmaceuticos,0.19
221,Fabricacao de produtos de borracha,0.21
222,Fabricacao de produtos de material plastico,0.73
231,Fabricacao de vidro e de produtos do vidro,0.09
232,Fabricacao de cimento,0.04
233,"Fabricacao de artefatos de concreto, cimento, fibrocimento, gesso e materiais semelhantes",0.27
234,Fabricacao de produtos ceramicos,0.37
239,Aparelhamento de pedras e fabricacao de outros produtos de minerais nao-metalicos,0.17
241,Producao de ferro-gusa e de ferroligas,0.04
242,Siderurgia,0.18
243,"Producao de tubos de aco, exceto tubos sem costura",0.03
244,Metalurgia dos metais nao-ferrosos,0.1
245,Fundicao,0.15
251,Fabricacao de estruturas metalicas e obras de caldeiraria pesada,0.32
252,"Fabricacao de tanques, reservatorios metalicos e caldeiras",0.03
253,"Forjaria, estamparia, metalurgia do po e servicos de tratamento de metais",0.21
254,"Fabricacao de artigos de cutelaria, de serralheria e ferramentas",0.15
255,"Fabricacao de equipamento belico pesado, armas de fogo e municoes",0.01
259,Fabricacao de produtos de metal nao especificados anteriormente,0.39
261,Fabricacao de componentes eletronicos,0.09
262,Fabricacao de equipamentos de informatica e perifericos,0.1
263,Fabricacao de equipamentos de comunicacao,0.06
264,"Fabricacao de aparelhos de recepcao, reproducao, gravacao e amplificacao de audio e video",0.04
265,"Fabricacao de aparelhos e instrumentos de medida, teste e controle; cronometros e relogios",0.06
266,Fabricacao de aparelhos eletromedicos e eletroterapeuticos e equipamentos de irradiacao,0.01
267,"Fabricacao de equipamentos e instrumentos opticos, fotograficos e cinematograficos",0.01
268,"Fabricacao de midias virgens, magneticas e opticas",0.0
271,"Fabricacao de geradores, transformadores e motores eletricos",0.09
272,"Fabricacao de pilhas, baterias e acumuladores eletricos",0.02
273,Fabricacao de equipamentos para distribuicao e controle de energia eletrica,0.14
274,Fabricacao de lampadas e outros equipamentos de iluminacao,0.03
275,Fabricacao de eletrodomesticos,0.12
279,Fabricacao de equipamentos e aparelhos eletricos nao especificados anteriormente,0.07
281,"Fabricacao de motores, bombas, compressores e equipamentos de transmissao",0.12
282,Fabricacao de maquinas e equipamentos de uso geral,0.27
283,Fabricacao de tratores e de maquinas e equipamentos para a agricultura e pecuaria,0.16
284,Fabricacao de maquinas-ferramenta,0.04
285,Fabricacao de maquinas e equipamentos de uso na extracao mineral e na construcao,0.06
286,Fabricacao de maquinas e equipamentos de uso industrial especifico,0.2
291,"Fabricacao de automoveis, camionetas e utilitarios",0.2
292,Fabricacao de caminhoes e onibus,0.06
293,"Fabricacao de cabines, carrocerias e reboques para veiculos automotores",0.13
294,Fabricacao de pecas e acessorios para veiculos automotores,0.66
295,Recondicionamento e recuperacao de motores para veiculos automotores,0.02
301,Construcao de embarcacoes,0.11
303,Fabricacao de veiculos ferroviarios,0.01
304,Fabricacao de aeronaves,0.04
305,Fabricacao de veiculos militares de combate,0.0
309,Fabricacao de equipamentos de transporte nao especificados anteriormente,0.06
310,Fabricacao de moveis,0.58
321,"Fabricacao de artigos de joalheria, bijuteria e semelhantes",0.04
322,Fabricacao de instrumentos musicais,0.0
323,Fabricacao de artefatos para pesca e esporte,0.01
324,Fabricacao de brinquedos e jogos recreativos,0.03
325,Fabricacao de instrumentos e materiais para uso medico e odontologico e de artigos opticos,0.11
329,Fabricacao de produtos diversos,0.12
331,Manutencao e reparacao de maquinas e equipamentos,0.28
332,Instalacao de maquinas e equipamentos,0.08
351,"Geracao, transmissao e distribuicao de energia eletrica",0.25
352,Producao e distribuicao de combustiveis gasosos por redes urbanas,0.01
353,"Producao e distribuicao de vapor, agua quente e ar condicionado",0.0
360,"Captacao, tratamento e distribuicao de agua",0.27
370,Esgoto e atividades relacionadas,0.04
381,Coleta de residuos,0.26
382,Tratamento e disposicao de residuos,0.07
383,Recuperacao de materiais,0.07
390,Descontaminacao e outros servicos de gestao de residuos,0.0
411,Incorporacao de empreendimentos imobiliarios,0.39
412,Construcao de edificios,2.38
421,"Construcao de rodovias, ferrovias, obras urbanas e obras-de-arte especiais",0.72
422,"Obras de infra-estrutura para energia eletrica, telecomunicacoes, agua, esgoto e transporte por dutos",0.47
429,Construcao de outras obras de infra-estrutura,0.74
431,Demolicao e preparacao do terreno,0.22
432,"Instalacoes eletricas, hidraulicas e outras instalacoes em construcoes",0.57
433,Obras de acabamento,0.36
439,Outros servicos especializados para construcao,0.42
451,Comercio de veiculos automotores,0.61
452,Manutencao e reparacao de veiculos automotores,0.41
453,Comercio de pecas e acessorios para veiculos automotores,0.91
454,"Comercio, manutencao e reparacao de motocicletas, pecas e acessorios",0.19
461,"Representantes comerciais e agentes do comercio, exceto de veiculos automotores e motocicletas",0.12
462,Comercio atacadista de materias-primas agricolas e animais vivos,0.14
463,"Comercio atacadista especializado em produtos alimenticios, bebidas e fumo",0.97
464,Comercio atacadista de produtos de consumo nao-alimentar,0.7
465,Comercio atacadista de equipamentos e produtos de tecnologias de informacao e comunicacao,0.08
