,0,1,2,3,4,5,6,7,8,9
01001,551.083333333,93.1333333333,22.9333333333,52.25,16.6,0.0,3.63333333333,0.0,0.6,0.6
01003,3249.0,741.85,147.066666667,158.15,85.5333333333,9.06666666667,18.55,1.8,6.9,3.0
01005,348.0,64.6666666667,27.85,55.0,12.95,0.0,2.4,1.0,8.6,7.0
01007,166.5,29.4166666667,21.6666666667,40.4333333333,10.05,1.0,0.0,0.333333333333,5.6,0.6
01009,461.466666667,91.75,50.4666666667,65.55,8.46666666667,1.0,4.83333333333,0.0,1.8,0.0
01011,62.3833333333,6.95,6.5,21.55,2.3,0.75,1.2,0.0,2.4,0.0
01013,287.166666667,44.0333333333,25.65,32.0,9.8,1.2,1.6,0.0,4.9,0.0
01015,1744.2,426.85,148.516666667,103.733333333,39.55,1.2,14.5333333333,1.2,2.0,0.666666666666
01017,392.433333333,53.1,18.7333333333,60.8,6.16666666667,0.666666666667,3.2,0.0,3.6,0.6
01019,223.966666667,35.6833333333,17.8833333333,32.0833333333,10.3333333333,0.0,2.8,0.0,0.0,3.2
01021,497.766666667,81.7666666667,48.0,45.5333333333,15.15,2.6,1.8,0.6,1.25,1.2
01023,174.866666667,20.5333333333,13.7333333333,28.3,7.0,0.0,6.0,1.0,10.2,0.0
01025,443.8,59.7166666667,43.6,52.35,7.35,0.0,4.88333333333,0.333333333333,18.0,0.0
01027,115.833333333,14.4,13.0666666667,19.2,5.6,0.6,1.6,0.0,0.6,1.0
01029,101.75,14.4833333333,10.1,29.95,5.05,0.8,1.8,0.0,0.8,0.6
01031,647.933333333,112.916666667,36.95,66.8,22.0333333333,1.66666666667,8.1,0.0,4.2,1.2
01033,878.0,178.8,93.1333333333,69.4,35.4,0.0,11.0,1.2,8.2,0.666666666667
01035,134.3,20.7833333333,12.6666666667,33.75,5.46666666667,0.0,4.2,1.0,3.0,0.0
01037,59.7666666667,7.13333333333,8.1,22.4,3.1,0.0,0.333333333333,0.0,1.53333333333,0.6
01039,613.0,101.933333333,41.95,52.8,26.2,0.0,5.28333333333,0.6,9.4,6.6
01041,110.916666667,17.0,19.8833333333,28.85,5.3,0.0,2.6,0.0,1.5,0.0
01043,1136.2,233.7,105.233333333,81.35,36.8,5.2,8.3,0.0,2.8,2.8
01045,550.95,114.083333333,40.7666666667,59.9,28.65,1.0,6.35,0.0,0.6,0.6
01047,641.65,99.0333333333,53.2333333333,81.95,20.35,2.4,7.15,0.0,4.8,1.0
01049,729.35,122.333333333,65.3,87.55,24.2666666667,2.2,20.6,0.0,1.2,42.9333333333
01051,767.866666667,136.716666667,48.2666666667,78.95,26.45,0.0,5.93333333333,0.6,1.8,1.2
01053,531.0,74.9666666667,36.85,56.8333333333,21.8833333333,0.0,7.8,9.8,9.2,0.6
01055,1468.2,343.4,134.6,105.966666667,26.25,0.0,17.8,0.0,0.8,0.333333333333
01057,175.483333333,22.3,32.6,30.65,10.4,0.0,4.23333333333,8.4,5.6,0.333333333333
01059,366.266666667,56.05,39.5333333333,38.8,12.2333333333,0.5,5.1,0.0,2.2,0.6
01061,293.533333333,50.1833333333,18.35,50.4833333333,13.0666666667,2.0,1.95,0.0,0.0,2.2
01063,65.4333333333,9.45,4.4,25.55,6.4,4.0,1.4,1.0,4.0,0.0
01065,123.2,14.8333333333,18.2,31.9,4.26666666667,10.2,2.2,0.6,1.2,0.6
01067,177.1,36.3833333333,22.7333333333,27.75,7.8,0.0,5.4,0.0,3.2,0.6
01069,2055.46666667,514.45,122.3,93.4833333333,57.0666666667,4.2,9.3,0.0,1.8,3.83333333333
01071,561.15,100.533333333,65.4333333333,84.95,17.0333333333,1.0,8.95,1.0,6.8,3.58333333333
01073,12022.4,4505.2,814.3,529.2,404.6,0.0,98.6,7.2,12.8,2.5
01075,146.7,25.6666666667,26.0666666667,33.15,6.58333333333,0.0,1.95,2.4,2.6,0.333333333333
01077,1390.4,277.55,71.8333333333,74.7333333333,33.0833333333,0.5,7.8,0.0,1.5,1.35
01079,266.633333333,31.1,17.6166666667,22.4,7.95,1.26666666667,3.4,0.5,0.0,1.25
