comuna_id,comuna_nam,area_id,area_name,area_km2,poblacion,densidad
76,Curanilahue,82.0,Arauco,994.3,33855,34.0490797546
67,Contulmo,82.0,Arauco,638.8,5188,8.12147777082
28,Cañete,82.0,Arauco,1089.2,33535,30.7886522218
11,Arauco,82.0,Arauco,956.1,41153,43.042568769
338,Villarrica,91.0,Cautín,1291.1,56178,43.5117341802
335,Vilcún,91.0,Cautín,1420.9,23823,16.7661341403
322,Toltén,91.0,Cautín,860.4,10403,12.0908879591
316,Teodoro Schmidt,91.0,Cautín,649.9,15793,24.3006616403
314,Temuco,91.0,Cautín,464.0,269992,581.879310345
276,Saavedra,91.0,Cautín,400.8,13481,33.6352295409
230,Pucón,91.0,Cautín,1248.5,29987,24.0184221065
222,Pitrufquén,91.0,Cautín,580.7,23776,40.9436886516
214,Perquenco,91.0,Cautín,330.7,6911,20.8980949501
194,Padre Las Casas,91.0,Cautín,400.7,72135,180.022460694
184,Nueva Imperial,91.0,Cautín,732.5,32109,43.8348122867
171,Melipeuco,91.0,Cautín,1107.3,5451,4.92278515308
147,Loncoche,91.0,Cautín,976.8,22191,22.7180589681
135,Lautaro,91.0,Cautín,901.1,35451,39.3419154367
100,Gorbea,91.0,Cautín,694.5,15481,22.2908567315
98,Galvarino,91.0,Cautín,568.2,11324,19.9296022527
92,Freire,91.0,Cautín,935.2,27616,29.5295124038
77,Curarrehue,91.0,Cautín,1170.7,7540,6.44059109934
72,Cunco,91.0,Cautín,1906.5,19024,9.97849462366
46,Cholchol,91.0,Cautín,427.9,10825,25.2979668147
29,Carahue,91.0,Cautín,1340.6,25718,19.1839474862
333,Victoria,92.0,Malleco,1256.0,33127,26.375
326,Traiguén,92.0,Malleco,908.0,18357,20.2169603524
263,Renaico,92.0,Malleco,267.4,9028,33.7621540763
240,Purén,92.0,Malleco,464.9,11789,25.3581415358
158,Lumaco,92.0,Malleco,1119.0,10479,9.36461126005
155,Los Sauces,92.0,Malleco,849.8,6490,7.63709108025
149,Lonquimay,92.0,Malleco,3914.2,11341,2.89739921312
89,Ercilla,92.0,Malleco,499.7,9148,18.3069841905
73,Curacautín,92.0,Malleco,1664.0,15728,9.45192307692
60,Collipulli,92.0,Malleco,1295.9,21705,16.7489775446
8,Angol,92.0,Malleco,1194.4,51136,42.8131279303
295,San Pablo,103.0,Osorno,637.3,9150,14.3574454731
292,San Juan de la Costa,103.0,Osorno,1517.0,7997,5.27158866183
273,Río Negro,103.0,Osorno,1265.7,13425,10.6067788575
244,Puyehue,103.0,Osorno,1597.9,11370,7.11558921084
241,Purranque,103.0,Osorno,1458.8,20768,14.2363586509
234,Puerto Octay,103.0,Osorno,1795.7,9480,5.27927827588
191,Osorno,103.0,Osorno,951.0,153797,161.721345952
254,Quinchao,102.0,Chiloé,160.7,9043,56.2725575607
247,Quemchi,102.0,Chiloé,440.3,9191,20.8744038156
246,Quellón,102.0,Chiloé,3244.0,30964,9.54500616523
245,Queilén,102.0,Chiloé,332.9,5319,15.9777711024
