area_fips,industry_code,annual_avg_estabs,annual_avg_emplvl,total_annual_wages
01000,4471,3022.6,19254.6,289272946.6
01000,4481,1251.8,14095.6,187902981.0
01000,4482,320.0,2392.8,35640860.8
01000,4483,442.2,2378.2,49982261.4
01000,4511,648.6,5940.0,107665675.0
01000,4512,238.8,2219.6,31852101.4
01000,4521,185.6,21669.6,434666832.0
01000,4529,1021.8,35079.2,626771996.0
01000,4531,393.8,1651.2,21988549.4
01000,4532,694.6,5497.8,109966611.0
01000,4533,314.6,2362.2,33514780.6
01000,4539,618.6,3079.2,70174977.8
01000,4541,84.6,1683.0,49571262.0
01000,4542,108.0,863.4,22215994.6
01000,4543,291.4,1737.2,50724686.4
01000,4811,32.6,787.8,24441057.8
01000,4812,30.4,175.4,8073114.4
01000,4821,1.0,0.0,0.0
01000,4831,7.4,45.4,2514255.8
01000,4832,12.4,421.2,21251456.4
01000,4841,1354.0,20617.8,748280796.8
01000,4842,891.4,7811.0,240387984.0
01000,4851,9.4,263.6,7235680.0
01000,4852,5.8,208.2,4600958.2
01000,4853,35.0,176.4,2625570.0
01000,4854,88.4,1048.4,15008161.4
01000,4855,18.6,329.8,5619294.6
01000,4859,26.6,418.4,6960005.0
01000,4861,2.4,22.2,1182977.4
01000,4862,24.0,448.8,34067126.6
01000,4869,4.4,44.8,2722889.0
01000,4871,1.0,0.0,0.0
01000,4872,29.0,59.0,1263902.0
01000,4879,0.75,0.0,0.0
01000,4881,95.4,2859.0,115273209.2
01000,4882,27.6,288.6,8787465.6
01000,4883,69.8,999.4,41714841.6
01000,4884,129.8,855.4,23202652.4
01000,4885,169.6,1055.2,40813064.2
01000,4889,17.0,219.8,7713923.0
01000,4911,514.6,10079.6,440954691.6
01000,4921,119.8,4968.2,173457442.6
01000,4922,42.6,499.8,10199188.0
01000,4931,202.0,6584.2,206800617.6
01000,5111,296.8,6588.0,258775779.0
01000,5112,26.4,483.2,28091471.2
01000,5121,152.4,1547.6,21753933.8
01000,5122,26.0,66.0,1818124.4
01000,5151,206.4,3909.2,149043031.2
01000,5152,41.0,1141.2,42748770.8
01000,5161,30.6,106.6,4164660.4
01000,5171,313.8,8734.2,534488490.0
01000,5172,297.8,2725.0,110759016.0
01000,5173,146.2,2616.6,116469698.0
01000,5174,1.4,2.2,122573.2
01000,5175,69.0,1646.8,62291464.6
01000,5179,3.0,6.4,192884.4
01000,5181,47.8,335.8,13799664.6
01000,5182,135.2,1746.4,76347367.6
01000,5191,90.4,908.8,16918713.8
01000,5211,0.8,0.0,0.0
01000,5221,1681.0,33803.8,1449875120.6
01000,5222,1370.0,7095.6,310302865.8
01000,5223,285.6,2093.2,91361999.6
01000,5231,331.2,2608.6,262933610.8
01000,5232,0.8,0.0,0.0
01000,5239,205.8,0.0,0.0
01000,5241,826.6,14707.6,804523722.4
01000,5242,1821.2,9231.8,515826341.6
01000,5251,28.0,148.4,8120015.4
01000,5259,19.2,0.0,0.0
01000,5311,1470.4,7477.0,196044617.8
01000,5312,1002.4,4023.6,141151027.2
01000,5313,720.0,4812.4,150392837.6
01000,5321,232.0,2650.4,76314849.8
01000,5322,720.2,5296.0,117917540.2
01000,5323,81.6,663.2,21775281.4
01000,5324,151.4,1522.8,65089757.0
01000,5331,38.0,148.8,7322622.8
01000,5411,2683.2,14765.6,814705801.0
01000,5412,1673.2,11224.4,481229119.8
01000,5413,1804.4,25035.6,1484908935.2
01000,5414,180.6,600.2,17744438.8
01000,5415,1459.8,15585.4,1026068645.0
01000,5416,1329.0,6706.6,314804930.6
01000,5417,240.4,5157.4,351434131.2
01000,5418,516.0,3754.8,138384347.4
01000,5419,895.2,7355.6,143452134.0
01000,5511,564.0,11062.6,676845920.2
01000,5611,308.2,2898.4,168103217.4
01000,5612,79.2,3014.0,109063311.4
01000,5613,959.4,44373.2,805586225.4
01000,5614,518.2,9692.6,216818392.0
01000,5615,158.2,876.2,28676353.6
01000,5616,479.8,10062.0,183278977.0
01000,5617,2198.4,22614.0,419852546.4
01000,5619,218.8,2819.4,72452082.4
01000,5621,66.4,711.6,25086688.4
01000,5622,116.4,1625.0,65475476.8
01000,5629,119.0,1152.8,37847943.6
01000,6111,2060.6,105029.6,3055820733.0
01000,6112,57.8,8144.2,253180158.8
01000,6113,136.4,34175.4,1477537547.2
01000,6114,93.4,419.2,15153498.2
01000,6115,106.2,1818.6,77587946.6
01000,6116,333.8,2228.2,31865073.6
01000,6117,58.2,857.2,16004577.4
01000,6211,2989.0,32831.4,2173763597.6
01000,6212,1375.4,9518.4,355029447.2
01000,6213,1215.8,6802.0,215516476.4
01000,6214,245.0,6835.0,273914604.4
01000,6215,160.2,2365.6,92420661.4
01000,6216,287.0,8813.4,223864725.2
01000,6219,168.6,3344.2,87599597.8
01000,6221,125.8,74589.4,2733743306.8
01000,6222,21.4,4112.2,143909295.0
01000,6223,18.0,2248.2,119451009.4
01000,6231,236.0,28610.8,599918651.8
01000,6232,178.0,3842.2,75293743.8
01000,6233,227.8,5726.0,97235717.4
01000,6239,103.0,1682.0,35903265.2
01000,6241,652.8,8702.4,184954114.2
01000,6242,106.6,1766.4,45944804.2
01000,6243,157.8,3269.6,79656938.8
01000,6244,1066.6,10813.2,136890123.4
01000,7111,70.0,786.0,16054590.2
01000,7112,55.6,1733.2,31630993.0
01000,7113,41.0,352.2,7876401.4
01000,7114,15.2,33.8,766590.2
01000,7115,68.0,138.0,4800626.4
01000,7121,53.0,946.8,20490427.0
01000,7131,44.0,608.8,6546317.8
01000,7132,17.2,509.4,8688827.8
01000,7139,772.8,11656.8,168848401.0
01000,7211,724.0,14022.6,205541713.2
01000,7212,45.8,449.4,7635110.2
01000,7213,41.6,264.4,4156258.6
01000,7221,2476.6,55275.2,668424010.4
01000,7222,3797.6,69275.6,698387160.8
01000,7223,260.0,5341.8,83813879.6
01000,7224,316.4,1644.2,18281989.6
01000,8111,2390.2,12078.0,310188742.6
01000,8112,301.8,2433.2,111776987.2
01000,8113,541.4,4391.0,183898472.0
01000,8114,286.8,788.4,15684976.6
01000,8121,1128.4,5011.4,80586689.8
01000,8122,363.6,2608.0,66719973.2
01000,8123,556.0,6528.6,124889014.8
01000,8129,221.6,1414.6,31961035.0
01000,8131,25.6,190.6,3379756.4
01000,8132,81.2,973.6,26220068.6
01000,8133,151.4,1668.6,36656729.0
01000,8134,230.0,3498.6,46499703.0
01000,8139,697.8,3626.6,110363353.8
01000,8141,3156.4,4233.6,54179623.8
01000,9211,558.4,59108.8,1833321855.2
01000,9221,371.8,12195.4,507004688.2
01000,9231,270.4,14952.8,577713746.4
01000,9241,342.4,3366.4,120756862.0
01000,9251,30.4,943.6,28472759.8
01000,9261,399.0,8312.4,337541219.4
01000,9271,4.6,2616.0,222327087.0
01000,9281,79.8,17498.4,1150744739.2
01000,9999,0.666666666667,0.333333333333,5918.66666667
02000,1112,1.4,9.0,104583.2
02000,1114,14.2,124.0,2910247.6
02000,1119,0.0,0.0,0.0
02000,1121,1.0,0.0,0.0
02000,1123,1.0,0.0,0.0
02000,1125,20.2,262.2,8507631.4
02000,1129,1.2,0.0,0.0
02000,1131,1.0,0.0,0.0
02000,1132,1.0,0.0,0.0
02000,1133,33.6,397.2,17972313.8
02000,1141,36.0,45.4,3911828.2
02000,1142,0.0,0.0,0.0
02000,1151,0.8,0.0,0.0
02000,1152,2.4,0.0,0.0
02000,1153,13.6,33.2,1562736.6
02000,2111,35.4,2674.8,372564446.2
02000,2121,1.6,0.0,0.0
02000,2122,27.0,1251.4,91463270.6
02000,2123,23.4,0.0,0.0
02000,2131,103.0,6279.6,498905180.0
02000,2211,76.2,1406.0,86063051.2
02000,2212,5.4,86.8,5584618.2
02000,2213,20.4,86.6,3810263.2
02000,2361,482.6,2006.2,65381262.0
02000,2362,287.2,3481.6,220910308.0
02000,2371,163.2,973.8,69694701.8
02000,2372,16.8,89.4,3695627.8
02000,2373,85.4,1586.6,121504078.4
02000,2379,43.2,544.6,44454280.4
02000,2381,313.8,1494.2,59368762.4
02000,2382,470.0,4449.6,238073072.8
02000,2383,402.8,1370.0,47410395.0
02000,2389,307.8,1489.0,74941562.2
02000,3111,1.6,0.0,0.0
02000,3113,8.8,98.4,1290628.4
02000,3115,1.2,0.0,0.0
02000,3116,6.6,36.2,882106.4
02000,3117,159.0,8376.8,255530898.8
02000,3118,13.2,253.2,6765855.6
02000,3119,5.0,37.2,532316.4
02000,3121,14.0,60.8,1977399.0
02000,3122,0.5,0.0,0.0
02000,3133,0.6,0.0,0.0
02000,3141,0.0,0.0,0.0
02000,3149,6.4,48.6,1378273.6
02000,3152,2.2,1.0,46516.4
02000,3159,2.4,2.8,37147.6
02000,3161,0.6,0.0,0.0
02000,3169,0.6,0.0,0.0
02000,3211,21.2,195.4,6182723.6
