CHI ID REG,CHI label REG,CHI ID PRO,CHI label PRO,CHI ID ARE,CHI label ARE,CHI ID LLMA,CHI ID COM,CHI label COM
1.0,Tarapacá,11.0,Iquique,11.0,Iquique,1101,113.0,Iquique
1.0,Tarapacá,11.0,Iquique,11.0,Iquique,1101,5.0,Alto Hospicio
1.0,Tarapacá,14.0,Tamarugal,14.0,Tamarugal,1101,226.0,Pozo Almonte
1.0,Tarapacá,14.0,Tamarugal,14.0,Tamarugal,1101,26.0,Camiña
1.0,Tarapacá,14.0,Tamarugal,14.0,Tamarugal,1101,58.0,Colchane
1.0,Tarapacá,14.0,Tamarugal,14.0,Tamarugal,1101,108.0,Huara
1.0,Tarapacá,14.0,Tamarugal,14.0,Tamarugal,1101,217.0,Pica
2.0,Antofagasta,21.0,Antofagasta,21.0,Antofagasta,2101,9.0,Antofagasta
2.0,Antofagasta,21.0,Antofagasta,21.0,Antofagasta,2101,170.0,Mejillones
2.0,Antofagasta,21.0,Antofagasta,21.0,Antofagasta,2101,309.0,Sierra Gorda
2.0,Antofagasta,21.0,Antofagasta,21.0,Antofagasta,2101,313.0,Taltal
2.0,Antofagasta,22.0,El Loa,22.0,El Loa,2201,19.0,Calama
2.0,Antofagasta,22.0,El Loa,22.0,El Loa,2201,189.0,Ollague
2.0,Antofagasta,22.0,El Loa,22.0,El Loa,2201,189.0,Ollague
2.0,Antofagasta,22.0,El Loa,22.0,El Loa,2201,297.0,San Pedro de Atacama
2.0,Antofagasta,23.0,Tocopilla,23.0,Tocopilla,2301,321.0,Tocopilla
2.0,Antofagasta,23.0,Tocopilla,23.0,Tocopilla,2301,165.0,María Elena
3.0,Atacama,31.0,Copiapó,31.0,Copiapó,3101,68.0,Copiapó
3.0,Atacama,31.0,Copiapó,31.0,Copiapó,3101,21.0,Caldera
3.0,Atacama,31.0,Copiapó,31.0,Copiapó,3101,317.0,Tierra Amarilla
3.0,Atacama,32.0,Chañaral,32.0,Chañaral,3202,39.0,Chañaral
3.0,Atacama,32.0,Chañaral,32.0,Chañaral,3202,81.0,Diego de Almagro
3.0,Atacama,33.0,Huasco,33.0,Huasco,3301,330.0,Vallenar
3.0,Atacama,33.0,Huasco,33.0,Huasco,3301,4.0,Alto del Carmen
3.0,Atacama,33.0,Huasco,33.0,Huasco,3301,93.0,Freirina
3.0,Atacama,33.0,Huasco,33.0,Huasco,3301,109.0,Huasco
4.0,Coquimbo,41.0,Elqui,41.0,Elqui,4101,126.0,La Serena
4.0,Coquimbo,41.0,Elqui,41.0,Elqui,4101,69.0,Coquimbo
4.0,Coquimbo,41.0,Elqui,41.0,Elqui,4101,7.0,Andacollo
4.0,Coquimbo,41.0,Elqui,41.0,Elqui,4101,122.0,La Higuera
4.0,Coquimbo,41.0,Elqui,41.0,Elqui,4101,195.0,Paihuano
4.0,Coquimbo,41.0,Elqui,41.0,Elqui,4101,334.0,Vicuña
4.0,Coquimbo,42.0,Choapa,42.0,Choapa,4201,111.0,Illapel
4.0,Coquimbo,42.0,Choapa,42.0,Choapa,4201,27.0,Canela
4.0,Coquimbo,42.0,Choapa,42.0,Choapa,4201,156.0,Los Vilos
4.0,Coquimbo,42.0,Choapa,42.0,Choapa,4201,278.0,Salamanca
4.0,Coquimbo,43.0,Limarí,43.0,Limarí,4301,192.0,Ovalle
4.0,Coquimbo,43.0,Limarí,43.0,Limarí,4301,62.0,Combarbalá
4.0,Coquimbo,43.0,Limarí,43.0,Limarí,4301,174.0,Monte Patria
4.0,Coquimbo,43.0,Limarí,43.0,Limarí,4301,237.0,Punitaqui
