1,custom_id3,CLAE 3,Descripción CLAE 3,CLAE ID 2,Ramas,Descripción,letra,clanae,sector,dpe,dígitos,sector.1,CIIU ID CI4,CIIU label CI4,CIIU ID CI2,CIIU ID CI1,CIIU ID CI0
27.0,11.0,11.0,Cultivos Temporales,1.0,112.0,"Cultivo de hortalizas, legumbres, flores y plantas ornamentales",A,1121,11.21,011.21,5,"Cultivo de papa, batata y mandioca.",,,,,
28.0,11.0,11.0,Cultivos Temporales,1.0,112.0,"Cultivo de hortalizas, legumbres, flores y plantas ornamentales",A,,,11211,6,Papa,,,,,
29.0,11.0,11.0,Cultivos Temporales,1.0,112.0,"Cultivo de hortalizas, legumbres, flores y plantas ornamentales",A,,,11212,6,Batata y Mandioca,,,,,
30.0,11.0,11.0,Cultivos Temporales,1.0,112.0,"Cultivo de hortalizas, legumbres, flores y plantas ornamentales",A,1122,11.22,011.22,5,"Cultivo de bulbos, brotes, raíces y hortalizas de fruto.",,,,,
31.0,11.0,11.0,Cultivos Temporales,1.0,112.0,"Cultivo de hortalizas, legumbres, flores y plantas ornamentales",A,,,11221,6,Ajo,,,,,
32.0,11.0,11.0,Cultivos Temporales,1.0,112.0,"Cultivo de hortalizas, legumbres, flores y plantas ornamentales",A,,,11222,6,Cebolla ,,,,,
33.0,11.0,11.0,Cultivos Temporales,1.0,112.0,"Cultivo de hortalizas, legumbres, flores y plantas ornamentales",A,,,11223,6,Pimiento,,,,,
34.0,11.0,11.0,Cultivos Temporales,1.0,112.0,"Cultivo de hortalizas, legumbres, flores y plantas ornamentales",A,,,11224,6,Tomate,,,,,
35.0,11.0,11.0,Cultivos Temporales,1.0,112.0,"Cultivo de hortalizas, legumbres, flores y plantas ornamentales",A,,,11225,6,Zapallo,,,,,
36.0,11.0,11.0,Cultivos Temporales,1.0,112.0,"Cultivo de hortalizas, legumbres, flores y plantas ornamentales",A,,,11226,6,"Cultivo de bulbos, brotes, raíces y hortalizas de fruto n.c.p.",,,,,
37.0,11.0,11.0,Cultivos Temporales,1.0,112.0,"Cultivo de hortalizas, legumbres, flores y plantas ornamentales",A,1123,11.23,011.23,5,Cultivo de hortalizas de hoja y de otras hortalizas frescas.,,,,,
38.0,11.0,11.0,Cultivos Temporales,1.0,112.0,"Cultivo de hortalizas, legumbres, flores y plantas ornamentales",A,,,11231,6,Acelga,,,,,
39.0,11.0,11.0,Cultivos Temporales,1.0,112.0,"Cultivo de hortalizas, legumbres, flores y plantas ornamentales",A,,,11232,6,Lechuga,,,,,
40.0,11.0,11.0,Cultivos Temporales,1.0,112.0,"Cultivo de hortalizas, legumbres, flores y plantas ornamentales",A,,,11233,6,Cultivos de hortalizas de hoja y de otras hortalizas frescas n.c.p.,,,,,
41.0,11.0,11.0,Cultivos Temporales,1.0,112.0,"Cultivo de hortalizas, legumbres, flores y plantas ornamentales",A,1124,11.24,011.24,5,Cultivo de legumbres.,,,,,
42.0,11.0,11.0,Cultivos Temporales,1.0,112.0,"Cultivo de hortalizas, legumbres, flores y plantas ornamentales",A,,,11241,6,Poroto,,,,,
43.0,11.0,11.0,Cultivos Temporales,1.0,112.0,"Cultivo de hortalizas, legumbres, flores y plantas ornamentales",A,,,11242,6,Cultivo de legumbres n.c.p.,,,,,
44.0,11.0,11.0,Cultivos Temporales,1.0,112.0,"Cultivo de hortalizas, legumbres, flores y plantas ornamentales",A,1125,11.25,011.25,5,Cultivo de flores y plantas ornamentales.,,,,,
45.0,12.0,12.0,Cultivos Perennes,1.0,113.0,Cultivo de frutas  -excepto vid para vinificar- y nueces ,A,113,11.3,011.3,4,Cultivo de frutas -excepto vid para vinificar- y nueces.,121.0,Cultivo de frutas tropicales y subtropicales,1.0,1.0,0.0
46.0,12.0,12.0,Cultivos Perennes,1.0,113.0,Cultivo de frutas  -excepto vid para vinificar- y nueces ,A,1131,11.31,011.31,5,Cultivo de frutas de pepita.,122.0,Cultivo de platano y banano,1.0,1.0,0.0
47.0,12.0,12.0,Cultivos Perennes,1.0,113.0,Cultivo de frutas  -excepto vid para vinificar- y nueces ,A,,,11311,6,Manzana,123.0,Cultivo de cafe,1.0,1.0,0.0
48.0,12.0,12.0,Cultivos Perennes,1.0,113.0,Cultivo de frutas  -excepto vid para vinificar- y nueces ,A,,,11312,6,Pera,124.0,Cultivo de cana de azucar,1.0,1.0,0.0
49.0,12.0,12.0,Cultivos Perennes,1.0,113.0,Cultivo de frutas  -excepto vid para vinificar- y nueces ,A,,,11313,6,Cultivos de frutas de pepita n.c.p.,125.0,Cultivo de flor de corte,1.0,1.0,0.0
50.0,12.0,12.0,Cultivos Perennes,1.0,113.0,Cultivo de frutas  -excepto vid para vinificar- y nueces ,A,1132,11.32,011.32,5,Cultivo de frutas de carozo.,126.0,Cultivo de palma para aceite (palma africana) y otros frutos oleaginosos,1.0,1.0,0.0
51.0,12.0,12.0,Cultivos Perennes,1.0,113.0,Cultivo de frutas  -excepto vid para vinificar- y nueces ,A,,,11321,6,Ciruela,,,,,
52.0,12.0,12.0,Cultivos Perennes,1.0,113.0,Cultivo de frutas  -excepto vid para vinificar- y nueces ,A,,,11322,6,Durazno y Pelón,,,,,
