CNAE ID CNC,CNAE label CNC,,
a01113,Cultivo de cereais,,
a01121,Cultivo de algodao herbaceo e de outras fibras de lavoura temporaria,,
a01130,Cultivo de cana-de-acucar,11400,CULTIVO DE CAÑA DE AZÚCAR
a01148,Cultivo de fumo,11500,CULTIVO DE TABACO
a01156,Cultivo de soja,,
a01164,"Cultivo de oleaginosas de lavoura temporaria, exceto soja",,
a01199,Cultivo de plantas de lavoura temporaria nao especificadas anteriormente,,
a01211,Horticultura,,
a01229,Cultivo de flores e plantas ornamentais,11901,CULTIVO DE FLORES
a01318,Cultivo de laranja,12300,CULTIVO DE CÍTRICOS
a01326,Cultivo de uva,12111,CULTIVO DE UVA DESTINADA A LA PRODUCCIÓN DE PISCO Y AGUARDIENTE
a01326,Cultivo de uva,12112,CULTIVO DE UVA DESTINADA A LA PRODUCCIÓN DE VINO
a01326,Cultivo de uva,12120,CULTIVO DE UVA PARA MESA
a01334,"Cultivo de frutas de lavoura permanente, exceto laranja e uva",,
a01342,Cultivo de cafe,12700,"CULTIVO DE PLANTAS CON LAS QUE SE PREPARAN BEBIDAS (INCLUYE EL CULTIVO DE CAFÉ, TÉ Y MATE)"
a01351,Cultivo de cacau,,
a01393,Cultivo de plantas de lavoura permanente nao especificadas anteriormente,,
a01415,Producao de sementes certificadas,,
a01423,"Producao de mudas e outras formas de propagacao vegetal, certificadas",13000,CULTIVO DE PLANTAS VIVAS INCLUIDA LA PRODUCCIÓN EN VIVEROS (EXCEPTO VIVEROS FORESTALES)
a01512,Criacao de bovinos,14101,CRÍA DE GANADO BOVINO PARA LA PRODUCCIÓN LECHERA
a01512,Criacao de bovinos,14102,CRÍA DE GANADO BOVINO PARA LA PRODUCCIÓN DE CARNE O COMO GANADO REPRODUCTOR
a01521,Criacao de outros animais de grande porte,,
a01539,Criacao de caprinos e ovinos,14410,CRÍA DE OVEJAS (OVINOS)
a01539,Criacao de caprinos e ovinos,14420,CRÍA DE CABRAS (CAPRINOS)
a01547,Criacao de suinos,14500,CRÍA DE CERDOS
a01555,Criacao de aves,14200,CRÍA DE CABALLOS Y OTROS EQUINOS
a01555,Criacao de aves,14300,"CRÍA DE LLAMAS, ALPACAS, VICUÑAS, GUANACOS Y OTROS CAMÉLIDOS"
a01598,Criacao de animais nao especificados anteriormente,14909,CRÍA DE OTROS ANIMALES N.C.P.
a01610,Atividades de apoio a agricultura,16100,ACTIVIDADES DE APOYO A LA AGRICULTURA
a01628,Atividades de apoio a pecuaria,16200,ACTIVIDADES DE APOYO A LA GANADERÍA
a01636,Atividades de pos-colheita,16300,ACTIVIDADES POSCOSECHA
a01709,Caca e servicos relacionados,17000,CAZA ORDINARIA Y MEDIANTE TRAMPAS Y ACTIVIDADES DE SERVICIOS CONEXAS
a02101,Producao florestal - florestas plantadas,21001,EXPLOTACIÓN DE VIVEROS FORESTALES
a02209,Producao florestal - florestas nativas,,
a02306,Atividades de apoio a producao florestal,,
a03116,Pesca em agua salgada,31110,"PESCA MARÍTIMA INDUSTRIAL, EXCEPTO DE BARCOS FACTORÍA"
a03116,Pesca em agua salgada,31120,PESCA MARÍTIMA ARTESANAL
a03116,Pesca em agua salgada,31130,RECOLECCIÓN Y EXTRACCIÓN DE PRODUCTOS MARINOS
a03116,Pesca em agua salgada,31140,SERVICIOS RELACIONADOS CON LA PESCA MARÍTIMA
a03124,Pesca em agua doce,31200,PESCA DE AGUA DULCE
