"Year","IBGE ID","Location","Imports","Exports","Economic Complexity","Nominal Export Growth (1 year)","Nominal Export Growth (5 year)","Nominal Import Growth (1 year)","Nominal Import Growth (5 year)","Product Diversity","Effective Product Diversity","Export Destination Diversity","Effective Export Destination Diversity"
"2016","3519071","Hortolândia - SP","USD 668M","USD 51.1M","1.695","0% ","0% ","0% ","0% ","120","14.73","51","8.769"
"2016","3508405","Cabreúva - SP","USD 133M","USD 37.9M","1.519","0% ","0% ","0% ","0% ","114","13.19","68","19.82"
"2016","3538709","Piracicaba - SP","USD 1.52B","USD 1.32B","1.519","0% ","0% ","0% ","0% ","323","5.528","113","21.06"
"2016","3509007","Caieiras - SP","USD 65.9M","USD 82.5M","1.504","0% ","0% ","0% ","0% ","115","5.014","40","6.654"
"2016","3510609","Carapicuíba - SP","USD 34.9M","USD 25.2M","1.486","0% ","0% ","0% ","0% ","90","8.81","46","10.0345"
"2016","3523404","Itatiba - SP","USD 185M","USD 130M","1.454","0% ","0% ","0% ","0% ","208","17.03","63","7.438"
"2016","3513009","Cotia - SP","USD 695M","USD 252M","1.434","0% ","0% ","0% ","0% ","460","19.9","104","24.98"
"2016","3551702","Sertãozinho - SP","USD 20.6M","USD 759M","1.416","0% ","0% ","0% ","0% ","148","5.876","95","25.93"
"2016","3132404","Itajubá - MG","USD 76.4M","USD 146M","1.363","0% ","0% ","0% ","0% ","99","7.514","68","24.26"
"2016","4304804","Carlos Barbosa - RS","USD 62.2M","USD 159M","1.309","0% ","0% ","0% ","0% ","150","10.2182","121","23.16"
"2016","3125101","Extrema - MG","USD 390M","USD 24.1M","1.28","0% ","0% ","0% ","0% ","72","8.579","40","13.86"
"2016","3518404","Guaratinguetá - SP","USD 689M","USD 200M","1.196","0% ","0% ","0% ","0% ","103","7.144","46","12.9"
"2016","2607208","Ipojuca - PE","USD 1.63B","USD 624M","1.179","0% ","0% ","0% ","0% ","34","2.865","31","7.012"
"2016","4309100","Gramado - RS","USD 1.95M","USD 6.63M","1.165","0% ","0% ","0% ","0% ","105","18.57","31","15.1"
"2016","3545209","Salto - SP","USD 97.8M","USD 135M","1.0831","0% ","0% ","0% ","0% ","149","15.07","82","13.66"
"2016","4119152","Pinhais - PR","USD 179M","USD 60.7M","1.0811","0% ","0% ","0% ","0% ","224","9.286","65","16.74"
"2016","3107307","Bocaiúva - MG","USD 16.9M","USD 4.65M","1.0738","0% ","0% ","0% ","0% ","9","2.839","7","2.486"
"2016","3548807","São Caetano do Sul - SP","USD 393M","USD 327M","1.073","0% ","0% ","0% ","0% ","212","8.269","60","4.412"
"2016","4209102","Joinville - SC","USD 1.46B","USD 971M","1.0541","0% ","0% ","0% ","0% ","375","9.845","112","19.35"
"2016","3547304","Santana de Parnaíba - SP","USD 194M","USD 47.1M","1.0362","0% ","0% ","0% ","0% ","204","20.9674","52","14.37"
"2016","3543303","Ribeirão Pires - SP","USD 52.6M","USD 159M","0.966","0% ","0% ","0% ","0% ","54","1.814","55","14.64"
"2016","4321303","Taquari - RS","USD 22.7M","USD 26.2M","0.959","0% ","0% ","0% ","0% ","9","2.407","25","11.35"
"2016","3515004","Embu - SP","USD 404M","USD 72.9M","0.93","0% ","0% ","0% ","0% ","344","33.35","75","17.3"
"2016","3121258","Delta - MG","USD 4.38M","USD 214M","0.925","0% ","0% ","0% ","0% ","8","1.214","42","17.09"
"2016","3300456","Belford Roxo - RJ","USD 959M","USD 27.3M","0.905","0% ","0% ","0% ","0% ","27","5.349","22","10.1369"
"2016","3162500","São João Del Rei - MG","USD 10M","USD 52M","0.897","0% ","0% ","0% ","0% ","33","3.662","35","10.7914"
